Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0015748,organophosphate ester transport,19_GO:0051179 localization,-5,67,14,30286,150,9,3,33,16,291|57605|121601,SLC25A4|PITPNM2|ANO4,-0.68,Plcl1
GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-2.9,13,5.9,30286,760,9,3,33,16,291|57605|121601,SLC25A4|PITPNM2|ANO4,0,Plcl1
