gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ifi213	0.0231702804002965	2.85552912471438	1	0.6	0.143	0.457
Axl	0.0236895635216407	2.26762902645577	1	0.6	0.286	0.314
Usp7	0.0241576441836676	1.77329876108363	1	0.7	0.286	0.414
Foxp1	0.0243649917243211	-0.414911459954348	1	1	1	0
Mfng	0.0243779716298479	-2.14560974901607	1	0.3	0.714	0.414
Ptk2b	0.0254349236285535	1.44348395091867	1	0.7	0.571	0.129
Clec7a	0.0255491361313983	2.43492405556032	1	0.7	0.286	0.414
Elmo1	0.0258681976288543	-0.340496806803281	1	1	1	0
Csf1	0.0264856285481342	2.21079373390846	1	0.6	0.286	0.314
Gpr34	0.0270719738403494	-0.889101570625239	1	0.9	1	0.1
Tom1l2	0.027475959864801	-2.02684620711739	1	0.6	0.714	0.114
Nrd1	0.0275012015523058	1.73570256877366	1	0.9	0.429	0.471
Prkacb	0.0278481462198649	-1.86203465884005	1	0.6	0.714	0.114
3222401L13Rik	0.0279025130700389	-1.54489855229516	1	0.5	0.714	0.214
Prkg1	0.0285332900572795	1.49201039257408	1	0.9	0.714	0.186
Ipcef1	0.0288727130121496	1.8047821382898	1	0.7	0.429	0.271
Camsap1	0.0291892267489324	1.46697111394214	1	0.6	0.571	0.029
Prune2	0.0297619716347715	2.72322635516469	1	0.5	0	0.5
Itga9	0.0301774909096281	-1.33323166885259	1	0.7	1	0.3
Cdk8	0.0305009660358963	1.01518067091827	1	0.9	0.714	0.186
Ranbp9	0.0306232143688701	1.83535738850181	1	0.9	0.571	0.329
Tm9sf2	0.0311026057343847	1.74946403451432	1	0.8	0.429	0.371
Dcun1d5	0.0312803577330015	1.98775270002034	1	0.8	0.286	0.514
Mfsd14b	0.031433345278186	-2.5328931564856	1	0.4	0.714	0.314
Abr	0.031992844288704	1.89215221935551	1	0.7	0.429	0.271
Cers6	0.0321295568514849	2.66179254814646	1	0.5	0	0.5
Susd6	0.0322603472911869	1.03392892362577	1	1	0.857	0.143
Socs5	0.032528499460953	-2.32551262522942	1	0.4	0.857	0.457
Anapc11	0.0327837956532191	-2.77979255127364	1	0.2	0.857	0.657
Ubr4	0.0330332380856868	2.48834437543721	1	0.7	0	0.7
Rasal2	0.0339370059582845	-1.1140349577663	1	0.8	1	0.2
Frmd4b	0.0339537815943008	-0.496057225027299	1	0.9	1	0.1
Sema4d	0.0341167022194326	1.82132212204181	1	0.9	0.286	0.614
Vac14	0.0341888305724413	2.72239393386937	1	0.7	0.143	0.557
Smg7	0.0344830103882725	2.39639244417725	1	0.7	0.286	0.414
B2m	0.0346660487340021	1.67982460681618	1	1	0.714	0.286
Agmo	0.0347355799852929	-0.426350427391862	1	1	1	0
Otud4	0.0349861930060209	1.95710258266039	1	0.6	0.429	0.171
Arpc5	0.0350628784719254	2.46707428408712	1	0.8	0.143	0.657
Atp8a1	0.035329357215337	0.691227223451897	1	1	1	0
Max	0.0355295436045352	2.03397837496905	1	0.8	0.286	0.514
Pik3cg	0.0356858173914648	-0.754743448438373	1	0.8	0.857	0.0569999999999999
Cd83	0.035942492143119	0.816663246796327	1	0.7	0.571	0.129
Paip2	0.0362523197919644	-1.56419199741436	1	0.5	1	0.5
Slc6a6	0.036344020592746	-1.44716027113434	1	0.8	1	0.2
Ms4a7	0.0363490436340609	-2.17228242645869	1	0.3	0.857	0.557
Etv1	0.0371794700362309	-2.40225642396524	1	0.6	0.714	0.114
2610035D17Rik	0.0372126178813776	-1.24004752380754	1	0.6	1	0.4
Adgrg1	0.0372320077167026	2.50363779245953	1	0.7	0.143	0.557
Tmem131l	0.0376657123199279	2.27557237952419	1	0.5	0.286	0.214
Chic2	0.0377382017018414	0.343207350888435	1	0.6	0.571	0.029
Rnf150	0.0385941058576076	-2.68574584266065	1	0.3	0.571	0.271
Myo18a	0.038605757585817	-1.07296925909102	1	0.6	0.857	0.257
Gm44148	0.0392969067152546	2.70421426696819	1	0.6	0.286	0.314
Eng	0.039304169647702	2.2327666573615	1	0.8	0.286	0.514
Fnip1	0.039370682335192	0.712650095597064	1	0.9	1	0.1
Trim30d	0.0395977889229836	1.41075305339358	1	1	0.857	0.143
Ppp6c	0.0396427099474915	1.3961148631785	1	0.9	0.429	0.471
Cope	0.0400575417326432	2.52825374767768	1	0.7	0	0.7
Npc1	0.0402195112837355	1.30394835974493	1	0.8	0.571	0.229
Plcg2	0.0404153391024179	0.80725938712942	1	0.9	0.857	0.043
Gon4l	0.0408560493264249	1.30820488719388	1	0.8	0.429	0.371
Phf12	0.0413322407213678	0.248327082615597	1	0.8	0.571	0.229
Arid5b	0.0427079391144928	0.917777056220767	1	0.8	1	0.2
Dab2	0.0438363794155172	-1.33304245985236	1	0.7	1	0.3
Mgat5	0.0438484319926641	0.52525550644509	1	0.8	0.857	0.0569999999999999
Fmn1	0.0443645581323421	1.79827105708061	1	0.7	0.429	0.271
Enpp2	0.0443767500485621	-2.55651294482191	1	0.3	0.714	0.414
Myl12b	0.044848930086001	-1.83323588035377	1	0.6	1	0.4
Gphn	0.0454708957017812	-0.235351585357034	1	0.9	0.857	0.043
Golgb1	0.0456103710196708	1.88901494061042	1	0.6	0.286	0.314
Dnajc24	0.0456177082305665	-2.6005541351425	1	0.5	0.714	0.214
Tg	0.0456408323199722	-2.02172869532907	1	0.5	0.714	0.214
1600010M07Rik	0.0456956577748811	-1.78452284563641	1	0.5	0.571	0.071
Samsn1	0.0457357613619935	0.61642464011948	1	0.9	0.857	0.043
Itfg1	0.0457843378361996	-1.62918279837755	1	0.5	0.857	0.357
Zfp654	0.0458652913590212	1.2115175109289	1	0.7	0.286	0.414
F13a1	0.0459627244024624	-1.89858710578898	1	0.5	1	0.5
Zfp952	0.0461557513327197	-2.67438359409657	1	0.2	0.714	0.514
Cux1	0.0462162552170892	0.744757090056829	1	1	0.857	0.143
Ctr9	0.0464018125538201	-2.27197766635282	1	0.5	0.857	0.357
Sh3gl1	0.0464678945003471	-2.18592029439711	1	0.4	0.857	0.457
Zc3hav1	0.046728623907678	1.4952302224307	1	0.8	0.571	0.229
H2-D1	0.0470705272055512	2.37112635357507	1	0.7	0.143	0.557
Csf2ra	0.0472711206820792	2.27190743882373	1	0.5	0.143	0.357
Armh3	0.0482226896765991	-1.17215716771955	1	0.7	0.857	0.157
Prkch	0.0483326926620065	1.07756014328675	1	0.9	0.714	0.186
Hnrnpm	0.0488033423700292	1.62791429194245	1	0.9	0.571	0.329
Naa35	0.0489587936732726	1.53325229134216	1	0.9	0.571	0.329
Rbm25	0.0493622747234762	0.429385420852074	1	1	1	0
Rap1a	0.0493680579280725	-0.908125481736211	1	0.8	1	0.2
Larp4	0.0493775160010588	0.335982409484977	1	0.7	0.429	0.271
Rbbp6	0.049490902183795	-1.16948947344433	1	0.6	0.857	0.257
Tgfbr2	0.0502367348495726	0.518568020567928	1	1	1	0
Akt3	0.0506782924128177	1.07532073614836	1	0.8	0.714	0.0860000000000001
Ubxn4	0.0507018959462365	-1.15279540430825	1	0.8	0.857	0.0569999999999999
Uchl5	0.0515614714977805	1.77520838248125	1	0.9	0.143	0.757
Prrc1	0.0520962139670804	1.45874110724114	1	0.9	0.429	0.471
Ubtd2	0.0522370744768716	2.69102176211762	1	0.7	0	0.7
Akap7	0.0529279209879309	-1.73226361530607	1	0.5	1	0.5
Ubn2	0.0535848785356404	0.64736365186377	1	1	1	0
Septin10	0.053845459141394	-0.606264366854587	1	0.6	1	0.4
Dcakd	0.0538489607854688	1.01351751980777	1	1	0.714	0.286
Pde6d	0.053994440783752	2.20675454164176	1	0.9	0.286	0.614
Casc3	0.0543005307449919	1.27166670619466	1	0.8	0.571	0.229
Crim1	0.0545022624598572	-1.58512866932367	1	0.5	0.857	0.357
Rpl10a	0.0546273879045746	1.09939706106612	1	0.8	0.571	0.229
Calm2	0.0546371711422598	-1.91583195445805	1	0.5	0.714	0.214
AA386476	0.0547811260918781	-2.18832450492657	1	0.1	0.714	0.614
Nlrc5	0.0550524833110598	2.05049691041982	1	0.8	0.429	0.371
Eya3	0.0553392340974286	1.40694170546501	1	0.7	0.429	0.271
Rfx7	0.0553620060698587	-1.26947135248221	1	0.6	0.571	0.029
Akap8	0.0554527116182799	1.51714645667013	1	0.7	0.429	0.271
Lrmda	0.0556298670958325	0.362007681375695	1	1	1	0
AW554918	0.0558079945772265	-1.00578922200357	1	0.8	1	0.2
F11r	0.0561522578620155	-0.846946159441898	1	0.8	1	0.2
Ppp4r1	0.0562107304037665	1.26685024970486	1	0.9	0.571	0.329
Dgkz	0.0565314535677124	1.08509422538991	1	0.7	0.429	0.271
Gm56850	0.0567085162841553	-1.67577089907712	1	0.5	0.857	0.357
Psmb2	0.0569527082040472	-1.97620008783135	1	0.3	0.857	0.557
St8sia6	0.0571109821377507	1.96869143476205	1	0.5	0.286	0.214
Elk3	0.0571778018947009	0.765905987387161	1	0.9	0.857	0.043
Traf3	0.0573339243559796	1.33836978208684	1	0.9	0.714	0.186
