_MEMBER_Plcl1,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,148523,M1,0.058823529411764705,1
1,4952,M1,0.058823529411764705,1
1,199221,M1,0.058823529411764705,1
1,161357,M1,0.058823529411764705,1
1,1628,M1,0.058823529411764705,1
1,2917,M1,0.058823529411764705,1
1,22978,M1,0.058823529411764705,1
1,9975,M1,0.058823529411764705,1
1,64344,M1,0.058823529411764705,1
1,896,M1,0.058823529411764705,1
1,2070,M1,0.058823529411764705,1
1,79632,M1,0.058823529411764705,1
1,51582,M1,0.058823529411764705,1
1,91782,M1,0.058823529411764705,1
1,64850,M1,0.058823529411764705,1
1,1826,M1,0.058823529411764705,1
1,28513,M1,0.058823529411764705,1
