gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Klhl32	0	0.236542029475033	0	0.551	0.345	0.206
Med13l	0	0.131513661828671	0	0.796	0.59	0.206
Frrs1l	0	0.129431304251161	0	0.663	0.457	0.206
Lrrc49	0	0.128673560118045	0	0.624	0.418	0.206
Slc25a27	0	0.276492030172666	0	0.52	0.314	0.206
Atp1b1	0	0.130888792607266	0	0.766	0.56	0.206
Mcf2l	0	0.144060431882504	0	0.605	0.399	0.206
Rnf112	0	0.212142794430888	0	0.594	0.388	0.206
Tacc1	0	0.154828933314903	0	0.793	0.588	0.205
Aplp2	0	0.124801176371117	0	0.665	0.46	0.205
Fxr1	0	0.101931107839831	0	0.627	0.422	0.205
Srsf7	0	0.21865771444295	0	0.53	0.325	0.205
Arhgap39	0	0.140736785005871	0	0.724	0.519	0.205
Tet3	0	0.197480535899562	0	0.593	0.388	0.205
Trak1	0	0.178778424670711	0	0.546	0.342	0.204
Adgrb1	0	0.121900797409275	0	0.739	0.535	0.204
Klhl2	0	0.160228754329702	0	0.71	0.506	0.204
Nisch	0	0.127177009736981	0	0.571	0.367	0.204
Phc3	0	0.169231745764342	0	0.566	0.362	0.204
Pura	0	0.107717916440971	0	0.595	0.391	0.204
Ptprn	0	0.19331269725758	0	0.792	0.589	0.203
Map6	0	0.128189700412916	0	0.623	0.42	0.203
Ptpra	0	0.1296476338116	0	0.626	0.423	0.203
Rbm33	0	0.10600794091674	0	0.625	0.422	0.203
Celf5	0	0.169052658092869	0	0.586	0.383	0.203
Atp1b3	0	0.234946665465296	0	0.519	0.317	0.202
Cwc27	0	0.123889153145429	0	0.608	0.406	0.202
Dnm1l	0	0.121658276772882	0	0.602	0.4	0.202
Rasgrp1	0	0.23298133869891	0	0.599	0.397	0.202
Akap11	0	0.15808102386679	0	0.562	0.361	0.201
Ap2b1	0	0.103410024258453	0	0.685	0.484	0.201
Osbp2	0	0.136884476405345	0	0.681	0.48	0.201
Stk38	0	0.157708551425815	0	0.56	0.359	0.201
Aftph	0	0.13037069258402	0	0.581	0.38	0.201
Clec16a	0	0.123538158747182	0	0.605	0.404	0.201
Map4k4	0	0.301381995887253	0	0.476	0.276	0.2
Nap1l1	0	0.184621011038958	0	0.58	0.38	0.2
Dop1b	0	0.135798564103271	0	0.558	0.359	0.199
Dennd1b	0	0.167568476668669	0	0.62	0.421	0.199
Epb41l1	0	0.121798883275253	0	0.624	0.425	0.199
Lgi1	0	0.12465874920881	0	0.611	0.412	0.199
Pnn	0	0.10703085874652	0	0.636	0.437	0.199
Rsrc2	0	0.193090252182386	0	0.532	0.333	0.199
Ptpn5	0	0.188146767798907	0	0.587	0.388	0.199
Rabl6	0	0.121397215906222	0	0.583	0.384	0.199
Pak1	0	0.122590605679869	0	0.679	0.481	0.198
Slc25a36	0	0.163141882946488	0	0.544	0.346	0.198
Arhgef7	0	0.127985726429627	0	0.618	0.42	0.198
Arsb	0	0.106426985360196	0	0.659	0.461	0.198
Marchf6	0	0.100636157495228	0	0.612	0.414	0.198
Camk2g	0	0.148669445359166	0	0.584	0.386	0.198
Rai1	0	0.154542616370793	0	0.564	0.366	0.198
Luzp1	0	0.202045456758324	0	0.552	0.355	0.197
St3gal3	0	0.213269209614314	0	0.545	0.348	0.197
Tnpo3	0	0.150999707771425	0	0.548	0.351	0.197
Ubr2	0	0.153465232442158	0	0.52	0.323	0.197
Hnrnpdl	0	0.103036368996168	0	0.596	0.399	0.197
Prrc2b	0	0.100030100156436	0	0.601	0.404	0.197
Tial1	0	0.106540168505068	0	0.572	0.375	0.197
Ndufs4	0	0.103749626942888	0	0.559	0.363	0.196
Cabin1	0	0.143487205937228	0	0.537	0.341	0.196
Clk4	0	0.173864632284309	0	0.53	0.334	0.196
Inpp4a	0	0.140212121986875	0	0.596	0.4	0.196
Nbas	0	0.124304050774616	0	0.575	0.379	0.196
Pspc1	0	0.11020827870008	0	0.563	0.367	0.196
Rasgef1a	0	0.111530900765432	0	0.691	0.495	0.196
Wapl	0	0.118559422638808	0	0.568	0.372	0.196
Atxn7	0	0.134297399746434	0	0.559	0.364	0.195
Bdp1	0	0.134902001055567	0	0.549	0.354	0.195
Camsap2	0	0.14977795608113	0	0.544	0.349	0.195
Chd4	0	0.17338502469124	0	0.534	0.339	0.195
Chd5	0	0.303131386689856	0	0.477	0.282	0.195
Atad2b	0	0.100593452693387	0	0.599	0.404	0.195
Dgkz	0	0.111671420105656	0	0.673	0.479	0.194
Fbxw11	0	0.108695872674733	0	0.561	0.367	0.194
Lrp6	0	0.115513207585955	0	0.561	0.367	0.194
Jakmip3	0	0.231535842828342	0	0.487	0.293	0.194
Ptpn12	0	0.103346268730543	0	0.641	0.447	0.194
Ppp2r3a	0	0.166919021570789	0	0.547	0.354	0.193
Rnf38	0	0.191228927443891	0	0.554	0.361	0.193
Lonp2	0	0.18112936646004	0	0.535	0.342	0.193
Tpr	0	0.17354377785565	0	0.521	0.328	0.193
Upf2	0	0.14286171371723	0	0.531	0.338	0.193
Cers4	0	0.103909234115612	0	0.587	0.394	0.193
Myrip	0	0.102309030122468	0	0.686	0.494	0.192
Kpna1	0	0.128957975440116	0	0.532	0.34	0.192
Efr3b	0	0.131247168122249	0	0.593	0.401	0.192
Spata7	0	0.108688038877659	0	0.581	0.389	0.192
Atl1	0	0.129649467325525	0	0.539	0.348	0.191
Dhx30	0	0.107514505262035	0	0.552	0.361	0.191
Ctnnd1	0	0.127229266262405	0	0.604	0.413	0.191
Cx3cl1	0	0.277715447276197	0	0.489	0.298	0.191
Acvr1	0	0.113904575674039	0	0.557	0.367	0.19
Fam120a	0	0.117138765909569	0	0.546	0.356	0.19
Fbxl2	0	0.185596334776767	0	0.536	0.346	0.19
Fndc3b	0	0.216380662334604	0	0.55	0.36	0.19
Senp5	0	0.111287441327337	0	0.549	0.359	0.19
Dagla	0	0.315121221577679	0	0.443	0.253	0.19
Lrrc4	0	0.305319956696807	0	0.481	0.291	0.19
Slf1	0	0.10106720495287	0	0.576	0.386	0.19
Actr2	0	0.14977329408107	0	0.533	0.344	0.189
Chfr	0	0.181136121155745	0	0.525	0.336	0.189
Gng2	0	0.178455408572049	0	0.55	0.362	0.188
Gon4l	0	0.100659978082384	0	0.543	0.355	0.188
Exoc2	0	0.147075609060479	0	0.505	0.317	0.188
Ncor2	0	0.297755082003079	0	0.456	0.268	0.188
Pnpla8	0	0.170976415794641	0	0.507	0.319	0.188
Zzz3	0	0.109571631082277	0	0.523	0.335	0.188
Glcci1	0	0.138839959065005	0	0.572	0.384	0.188
Mysm1	0	0.101114062916286	0	0.57	0.382	0.188
Ddx46	0	0.157035528287247	0	0.505	0.318	0.187
Rbm28	0	0.238572818508538	0	0.472	0.285	0.187
Srebf2	0	0.173501915405846	0	0.517	0.33	0.187
Virma	0	0.167575484021473	0	0.485	0.298	0.187
Zfp827	0	0.20569011032422	0	0.512	0.325	0.187
Epn2	0	0.105044273613799	0	0.587	0.4	0.187
Sun1	0	0.114558524009713	0	0.552	0.366	0.186
Stag2	0	0.138300769163896	0	0.502	0.316	0.186
Tpm3	0	0.125332174419501	0	0.529	0.344	0.185
Coro2b	0	0.274039170835548	0	0.447	0.262	0.185
Garem1	0	0.199205775623537	0	0.511	0.326	0.185
Lnpk	0	0.143888887220126	0	0.527	0.342	0.185
Riok3	0	0.1089280422863	0	0.533	0.349	0.184
Tra2b	0	0.124273308422098	0	0.539	0.355	0.184
Cntln	0	0.113224992625653	0	0.561	0.378	0.183
Eif4g1	0	0.202891511293636	0	0.47	0.287	0.183
Zfp398	0	0.20675504772804	0	0.474	0.291	0.183
Abca5	0	0.136040636902102	0	0.515	0.333	0.182
