gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Zfp697	1.02749436090907e-16	0.112082363548865	1.84106439587687e-12	0.437	0.4	0.037
Wdpcp	1.03972747177917e-16	-0.128632119796922	1.86298368393391e-12	0.36	0.364	0.004
Mtmr6	1.07484914948762e-16	0.170918783705324	1.92591470605192e-12	0.331	0.291	0.04
Lysmd4	1.09698213721798e-16	0.231637527055074	1.96557259346717e-12	0.246	0.211	0.035
Grik4	1.09816828579676e-16	0.115226682237081	1.96769793449064e-12	0.536	0.491	0.045
Ap2a1	1.11268054727372e-16	0.169559991179893	1.99370100460506e-12	0.313	0.275	0.038
Pmepa1	1.1327251747858e-16	0.246480526076548	2.02961696818119e-12	0.23	0.194	0.036
Arhgef4	1.13989901316596e-16	0.156131436637185	2.04247105179077e-12	0.29	0.256	0.034
Clip3	1.14899153831624e-16	0.147656924893848	2.05876303835504e-12	0.279	0.245	0.034
Mecr	1.30741712543823e-16	0.109055523513343	2.34263000536022e-12	0.354	0.321	0.033
Ilf3	1.39324395095837e-16	0.105448485146839	2.49641451132721e-12	0.345	0.311	0.034
Taf6	1.43222024247629e-16	0.349209100581173	2.56625223046902e-12	0.151	0.12	0.031
Chn2	1.45721377326237e-16	0.197520680242907	2.61103563893151e-12	0.215	0.18	0.035
Rbm4b	1.50335873526388e-16	0.180644383918304	2.69371818184582e-12	0.254	0.218	0.036
Tor1aip2	1.70692025279719e-16	0.118790921641952	3.058459708962e-12	0.317	0.285	0.032
Rnmt	1.74516190721862e-16	0.223208524542388	3.12698110535432e-12	0.229	0.195	0.034
Qki	1.81413343100761e-16	-0.136425971425958	3.25056428167943e-12	0.432	0.45	0.018
Zkscan2	1.84512921020531e-16	-0.121708630925673	3.30610251884587e-12	0.239	0.248	0.00900000000000001
Pnkd	1.90028556158584e-16	0.111351509564257	3.40493166924952e-12	0.304	0.272	0.032
Tent4a	1.91566673837257e-16	0.260864922772349	3.43249166181597e-12	0.243	0.207	0.036
Plxnc1	1.98346340231709e-16	0.115984432128351	3.55396972427177e-12	0.355	0.321	0.034
Nudt4	1.98778525596456e-16	0.26756551136088	3.5617136216373e-12	0.203	0.168	0.035
Ubash3b	2.03591378100893e-16	0.449524678407745	3.64795031281181e-12	0.122	0.096	0.026
Spns2	2.04065818030225e-16	0.328075771026031	3.65645132746557e-12	0.169	0.135	0.034
Adra1b	2.14292094923891e-16	0.327770938844484	3.83968575684629e-12	0.146	0.112	0.034
Slc41a2	2.16370317695157e-16	0.152864878350087	3.87692335246183e-12	0.341	0.305	0.036
Fstl5	2.17518425397974e-16	-0.488968437321889	3.8974951462809e-12	0.2	0.229	0.029
Ilf2	2.24873294352251e-16	0.152445089731967	4.02927968820362e-12	0.283	0.249	0.034
Lsm7	2.26891145652416e-16	0.140067589401571	4.06543554779998e-12	0.327	0.291	0.036
Herc6	2.27920148461307e-16	0.159052377155799	4.0838732201297e-12	0.243	0.21	0.033
Rnf13	2.31479707853357e-16	-0.102214798789172	4.14765340531646e-12	0.35	0.358	0.00800000000000001
Tmod3	2.32148154250519e-16	0.186983723925493	4.1596306278608e-12	0.238	0.205	0.033
Tex10	2.42978435600479e-16	0.184614288157595	4.35368760908938e-12	0.219	0.187	0.032
Rab11b	2.46028097290424e-16	0.200059336934719	4.40833144724982e-12	0.182	0.154	0.028
Hdac5	2.46894346788109e-16	0.230777023489873	4.42385290574934e-12	0.211	0.176	0.035
Jam3	2.4971218851492e-16	0.110409224830167	4.47434299381034e-12	0.363	0.327	0.036
Tenm3	2.51248155812367e-16	-0.180966628399363	4.501864455846e-12	0.7	0.738	0.038
Tmem181a	2.5290585149095e-16	0.151617591668068	4.53156704701485e-12	0.31	0.275	0.035
Zdhhc6	2.52987864936272e-16	0.110811044520958	4.53303656392813e-12	0.272	0.241	0.031
Kansl3	2.53635954591896e-16	0.130413237834952	4.54464903437759e-12	0.308	0.275	0.033
Terf1	2.69040994394623e-16	0.137184543507657	4.82067653756285e-12	0.334	0.299	0.035
Klhl22	2.76738974795797e-16	0.107208300588446	4.95860895039109e-12	0.357	0.325	0.032
Prkar2a	3.03302958011139e-16	0.197697492408661	5.43458240164359e-12	0.254	0.219	0.035
Ubap1	3.04479490682319e-16	0.167073231531888	5.4556635140458e-12	0.239	0.208	0.031
Nt5c3	3.05351746330759e-16	0.257947429548423	5.47129259075455e-12	0.247	0.209	0.038
Snx11	3.05932932596756e-16	0.305197591479399	5.48170628626867e-12	0.15	0.12	0.03
Abhd6	3.08902154599301e-16	0.127369905518328	5.53490880611027e-12	0.366	0.33	0.036
Sirt2	3.0946348368403e-16	0.28592200033175	5.54496670065045e-12	0.221	0.185	0.036
Ncs1	3.1665435737787e-16	0.148196221332755	5.67381277549667e-12	0.31	0.275	0.035
Zbtb7a	3.20227845333279e-16	0.197708624224484	5.7378425326817e-12	0.308	0.27	0.038
Tmem234	3.21621801143523e-16	0.114109994828288	5.76281943288964e-12	0.328	0.295	0.033
Maea	3.22070878794675e-16	0.194704325823168	5.77086600624299e-12	0.215	0.185	0.03
Tesc	3.23829387552634e-16	0.356823680564675	5.80237496616809e-12	0.168	0.136	0.032
Kif21b	3.34895915597342e-16	0.131737648023079	6.00066501567317e-12	0.306	0.271	0.035
Arpc3	3.58391122233604e-16	0.248161538661401	6.42165212818172e-12	0.206	0.172	0.034
Ccnl2	3.608622827845e-16	0.103015589815258	6.46593038293266e-12	0.419	0.385	0.034
Zc3h15	3.61511232507253e-16	0.115799571105121	6.47755826406496e-12	0.378	0.342	0.036
Uqcc1	3.82211931704102e-16	0.134625477640041	6.84847339227409e-12	0.255	0.224	0.031
Itpka	3.837793780081e-16	0.189443135099145	6.87655889514914e-12	0.334	0.295	0.039
Spats2	3.84491744097702e-16	0.110458472762544	6.88932307074263e-12	0.319	0.289	0.03
Anks3	3.89222694896238e-16	0.119456486758884	6.97409224715079e-12	0.379	0.344	0.035
Rps25	3.94311734689541e-16	-0.17485427458741	7.0652776621672e-12	0.145	0.152	0.00700000000000001
Zfp933	4.02140993519e-16	0.171945659546837	7.20556232187344e-12	0.268	0.235	0.033
Eif3j1	4.16944837652139e-16	0.163365913879854	7.47081760105102e-12	0.258	0.225	0.033
Mtf1	4.20713052124953e-16	0.306276417934495	7.53833646797491e-12	0.184	0.152	0.032
Usf2	4.23036967895386e-16	0.160742097208719	7.57997639074952e-12	0.203	0.174	0.029
Zdhhc9	4.25590262143858e-16	0.217770678302236	7.62572631709365e-12	0.176	0.145	0.031
Lasp1	4.35912260687905e-16	0.229076784495144	7.81067588700588e-12	0.195	0.164	0.031
Tbr1	4.41109512671509e-16	0.250106007746855	7.90380024804809e-12	0.167	0.137	0.03
Gfpt1	4.41351789927501e-16	0.108028889191782	7.90814137192097e-12	0.268	0.24	0.028
Fbxo28	4.63389740204536e-16	0.181557739140945	8.30301736498487e-12	0.274	0.24	0.034
Emc10	4.75758591361422e-16	0.10618637230484	8.52464244001395e-12	0.221	0.195	0.026
Max	5.06919666549198e-16	0.13501754091816	9.08298658522853e-12	0.243	0.215	0.028
Ypel3	5.58282160187732e-16	0.121073197363627	1.00032997462438e-11	0.247	0.217	0.03
Por	5.58710025565355e-16	0.26392691195334	1.001096623808e-11	0.207	0.173	0.034
Mapk6	5.70099534224448e-16	0.296310253298857	1.02150434542337e-11	0.18	0.146	0.034
Ankrd42	5.702216796558e-16	0.110427198826213	1.02172320560726e-11	0.3	0.272	0.028
Nkiras1	6.00139551080417e-16	0.247623261475182	1.07533004762589e-11	0.213	0.18	0.033
Wdr48	6.23465689991738e-16	0.151341140333346	1.1171258233272e-11	0.253	0.221	0.032
Git2	6.24312283812017e-16	0.105991309079146	1.11864275013437e-11	0.307	0.277	0.03
Garre1	6.32214557011599e-16	0.162026206764693	1.13280204325338e-11	0.335	0.298	0.037
Nol10	6.49342524395574e-16	0.175009137103963	1.16349193521199e-11	0.295	0.259	0.036
Sec16a	6.69369317578511e-16	0.11349977703174	1.19937594323718e-11	0.25	0.223	0.027
Atp6v1g2	6.85054908610763e-16	0.241956529299576	1.22748138524877e-11	0.235	0.199	0.036
Rbm4	7.2192816120728e-16	0.14245020426217	1.29355087925121e-11	0.274	0.242	0.032
Cmtm4	7.25074556509015e-16	0.125294507861715	1.29918859035285e-11	0.268	0.238	0.03
Ly6e	7.29202003922734e-16	0.199464662917016	1.30658415062875e-11	0.25	0.216	0.034
Sh3bgrl	7.51111269556697e-16	-0.337743977290623	1.34584117279169e-11	0.112	0.136	0.024
Wipi2	7.52449328421576e-16	0.131860496541046	1.34823870666578e-11	0.278	0.246	0.032
Nap1l4	7.74470549014339e-16	0.14888332421695	1.38769632972389e-11	0.254	0.223	0.031
Nhsl2	7.88386169366675e-16	0.136350106798422	1.41263033827121e-11	0.486	0.443	0.043
Tmem65	7.89526342284088e-16	0.173894836262126	1.41467330010463e-11	0.276	0.242	0.034
Pcdh11x	8.08662677285023e-16	-0.133864569164097	1.4489617851593e-11	0.416	0.407	0.00900000000000001
Prdm15	8.12168375574226e-16	0.206533071333973	1.4552432953539e-11	0.269	0.234	0.035
Ywhab	8.12380833264828e-16	0.10854289340274	1.45562397704392e-11	0.32	0.289	0.031
Coro2a	8.16230784466647e-16	0.237089038954334	1.46252231960734e-11	0.199	0.167	0.032
Gspt1	8.29078008392852e-16	0.135094663073217	1.48554197543831e-11	0.347	0.313	0.034
Fam228b	8.56919713179769e-16	-0.176278668679166	1.53542874207551e-11	0.16	0.17	0.01
Nup160	8.77182154331734e-16	0.169719473659726	1.5717349841316e-11	0.266	0.232	0.034
Iws1	8.80231207109626e-16	0.11928591460117	1.57719827689903e-11	0.375	0.341	0.034
Rpl36al	8.96733213959853e-16	-0.298330427090452	1.60676657277326e-11	0.112	0.127	0.015
Gsr	9.29880016713326e-16	0.187320397408721	1.66615901394694e-11	0.185	0.157	0.028
