gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Pdzrn4	1.45205374599179e-28	-0.192404443682858	2.60178990206809e-24	0.593	0.587	0.00600000000000001
Wls	1.91121256757848e-28	-0.10197063025495	3.42451067858712e-24	0.22	0.2	0.02
Nckap5	2.25212097304065e-28	-0.103321060452767	4.03535035949423e-24	0.144	0.122	0.022
Syne1	2.53260547866782e-28	0.12440560712276	4.53792249667699e-24	0.968	0.95	0.018
Zfp423	3.43208440195445e-28	0.288131007499209	6.14960883142198e-24	0.179	0.135	0.044
Siae	3.55757229058304e-28	0.102813118843281	6.37445803026669e-24	0.195	0.159	0.036
Rasgrf1	4.33647000883847e-28	0.124010340218505	7.77008696183676e-24	0.854	0.799	0.0549999999999999
Cachd1	5.86562655077362e-28	0.224039740546305	1.05100296536762e-23	0.138	0.101	0.037
Hecw1	7.67041231348476e-28	-0.130755595487446	1.3743844783302e-23	0.939	0.921	0.0179999999999999
Fut9	1.47107192434793e-27	-0.143227128289156	2.63586667404663e-23	0.899	0.886	0.013
Sfmbt2	1.55174352199717e-27	-0.156476050878522	2.78041404271453e-23	0.103	0.091	0.012
Cux2	1.5532163632453e-27	0.116198301197419	2.78305307966293e-23	0.416	0.36	0.056
Neto1	2.05567453575344e-27	-0.140927010844961	3.68335763316302e-23	0.667	0.654	0.013
Prss12	2.64955809766714e-27	-0.269781214924192	4.74747819939999e-23	0.14	0.138	0.002
Pde8b	2.75754266425845e-27	0.111952654796711	4.94096494581829e-23	0.774	0.715	0.0590000000000001
Uty	2.80958294835172e-27	0.121935145699142	5.03421072685662e-23	0.21	0.202	0.00799999999999998
Olfm3	6.61960198478674e-27	-0.137038435392687	1.18610028363409e-22	0.422	0.398	0.024
Trpm3	6.6279573622837e-27	-0.33379837247033	1.18759740017399e-22	0.579	0.556	0.0229999999999999
Ddah1	1.25581822944929e-26	0.298096828860149	2.25017510352723e-22	0.116	0.08	0.036
Kitl	1.84536019129592e-26	-0.185466688418166	3.30651639076402e-22	0.257	0.252	0.005
Wwox	2.51770407991444e-26	0.122385716287363	4.51122217039069e-22	0.767	0.703	0.0640000000000001
5730522E02Rik	2.63967747714162e-26	0.111900043540174	4.72977410354236e-22	0.886	0.838	0.048
Pcdh17	2.70889997968583e-26	-0.202240854402482	4.85380698360107e-22	0.325	0.32	0.005
Grik4	2.99052078035052e-26	0.111754444419224	5.35841513423207e-22	0.491	0.427	0.064
Itpr1	3.07863712304486e-26	0.102705480988888	5.51630199707179e-22	0.889	0.842	0.047
Itgbl1	3.45801936025905e-26	-0.436587913180017	6.19607908971217e-22	0.135	0.151	0.016
