gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Zbtb20	0.702231409966223	0.145508304041905	1	0.781	0.75	0.031
Cyp4f13	0.703462539617693	-0.128052468845533	1	0.148	0.18	0.032
Ddx60	0.704630387853676	0.541709566190609	1	0.185	0.13	0.055
Kansl1l	0.704795411647488	0.230154062674756	1	0.278	0.23	0.048
Thoc2	0.704901871852699	0.197064745618955	1	0.267	0.22	0.047
Sft2d1	0.706111108797844	0.299268916485932	1	0.241	0.18	0.061
Tram1	0.706471064717484	-0.642142532694283	1	0.093	0.12	0.027
Nav3	0.707600243705121	-0.272692027633955	1	0.8	0.83	0.0299999999999999
Arhgef40	0.707693131991563	0.312626874405592	1	0.137	0.11	0.027
Phyhd1	0.708409796513172	0.11353969441901	1	0.437	0.39	0.047
Ppp2ca	0.709350196223415	-0.566631983491529	1	0.089	0.13	0.041
Acss1	0.709684057043983	0.358626623667409	1	0.263	0.23	0.033
Eif4g1	0.710800701495204	-0.217343400409829	1	0.093	0.11	0.017
Ubr5	0.711219396053911	0.112597984038102	1	0.1	0.09	0.01
Tnfrsf1b	0.711368879370258	0.246471409111628	1	0.13	0.12	0.01
Pibf1	0.713034571457554	0.131644327697688	1	0.181	0.17	0.011
Fnip1	0.714428356446716	0.374929534262685	1	0.419	0.33	0.089
B230219D22Rik	0.714637176306589	0.728207440369625	1	0.126	0.08	0.046
Kcnj2	0.71486378575908	-0.487496844893491	1	0.085	0.1	0.015
Iqsec2	0.715051376938464	-0.584558499758605	1	0.07	0.11	0.04
Piezo1	0.715396135059204	0.698605404965501	1	0.111	0.07	0.041
Anxa3	0.715508128415327	-0.123641339349402	1	0.478	0.5	0.022
Ash1l	0.715974877484099	-0.162386775133726	1	0.396	0.4	0.004
Sbno1	0.716136636465311	0.115614863746083	1	0.089	0.1	0.011
Pdcd6ip	0.716243983986677	-0.115089979861269	1	0.122	0.13	0.00800000000000001
Asb2	0.716832562026956	-0.105702455277928	1	0.167	0.21	0.043
Soat1	0.716843556412902	-0.214015074215054	1	0.104	0.12	0.016
Hdac9	0.717329413037215	-0.193232787871005	1	0.544	0.56	0.016
Mxi1	0.717421197760058	0.140727929007252	1	0.122	0.12	0.002
Rin3	0.718580426008426	0.533414223674092	1	0.222	0.17	0.052
Cdc37l1	0.719953156193986	-0.398070641761125	1	0.081	0.12	0.039
Birc3	0.720032243412795	0.360215147992415	1	0.122	0.1	0.022
Sipa1l1	0.720724063283889	-0.858534284798518	1	0.085	0.17	0.085
Kif16b	0.721057189909655	0.605149035692706	1	0.17	0.11	0.06
Safb2	0.721060621518507	0.115531597468177	1	0.185	0.17	0.015
Bcor	0.722910255850721	0.267152555331252	1	0.181	0.14	0.041
Tg	0.722972836015212	-1.71631030888596	1	0.048	0.1	0.052
Sumo1	0.722975003006796	-1.07626013203669	1	0.059	0.11	0.051
Ddx3x	0.723723128438113	0.37567828739753	1	0.252	0.2	0.052
Tlk1	0.724494339312414	0.276658259215679	1	0.244	0.21	0.034
Mlxip	0.725997292445586	0.731236455802388	1	0.148	0.11	0.038
Kmt2c	0.726426304962952	0.145974557819902	1	0.444	0.41	0.034
Cdyl	0.727167587915547	0.572234140500418	1	0.181	0.13	0.051
Rabgap1	0.727753043940666	0.221460936858525	1	0.137	0.12	0.017
Nbea	0.728520628424582	0.496217047176229	1	0.13	0.11	0.02
Rps24	0.729325075677881	0.306531334460452	1	0.133	0.11	0.023
Rp2	0.729850458730305	0.142823215030274	1	0.27	0.23	0.04
