gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Rnf217	0.600629508260675	1.30052543766125	1.98606775012685	0.654824306763044	0.512580879034646	0.996084667631579	0.4	0.666666666666667	0.266666666666667
Nkain2	0.102118778987518	-0.248933601627987	1.51186606574612	-0.164653210537625	0.869216946787226	0.996084667631579	0.2	0	0.2
Trdn	0	NA	NA	NA	NA	NA	0	0	0
Clvs2	0	NA	NA	NA	NA	NA	0	0	0
Sult3a2	0	NA	NA	NA	NA	NA	0	0	0
Sult3a1	0	NA	NA	NA	NA	NA	0	0	0
Rsph4a	0	NA	NA	NA	NA	NA	0	0	0
Zup1	3.43035521633371	-0.88193528613594	0.762759173504569	-1.15624343406295	0.247581598422615	0.996084667631579	1	1	0
Rwdd1	0.249764309952541	1.62028418743964	1.7077492420971	0.948783432308803	0.342730769897468	0.996084667631579	0.2	0.333333333333333	0.133333333333333
Trappc3l	0	NA	NA	NA	NA	NA	0	0	0
Calhm5	0.246872483690544	0.47609999809292	1.56123259323757	0.304951357123296	0.760403200118666	0.996084667631579	0.4	0.333333333333333	0.0666666666666667
Calhm6	0	NA	NA	NA	NA	NA	0	0	0
Dse	3.78871497094855	0.382954829203505	0.679100624548217	0.563914706245886	0.572812181052168	0.996084667631579	0.8	1	0.2
Tspyl1	0.0387582022543528	1.20212533168938	1.4081143497953	0.853712862072698	0.393264105771841	0.996084667631579	0	0.333333333333333	0.333333333333333
Nt5dc1	3.5072029373201	-1.04904398805945	0.841334169242496	-1.24688147279691	0.212440961028904	0.996084667631579	0.8	0.666666666666667	0.133333333333333
Tspyl4	0	NA	NA	NA	NA	NA	0	0	0
Col10a1	0.133489703189482	-0.135321263347673	1.54200729845494	-0.0877565647602719	0.93007016081657	0.996084667631579	0.2	0	0.2
Frk	6.1384779226037	-0.614913084335362	0.706599813776705	-0.870242352667366	0.384167975136974	0.996084667631579	1	1	0
Amd2	0	NA	NA	NA	NA	NA	0	0	0
Hs3st5	0	NA	NA	NA	NA	NA	0	0	0
Hdac2	0.639387710515028	1.46256675456827	1.98911865746268	0.73528381480968	0.462166663200444	0.996084667631579	0.4	0.666666666666667	0.266666666666667
Marcks	3.6332241473122	-0.265018289800825	0.75426897402586	-0.351357803286416	0.725319934902426	0.996084667631579	0.8	1	0.2
Lama4	13.2823640381531	-0.557864755486307	0.40830644833964	-1.36628935877657	0.171848159659713	0.996084667631579	1	1	0
Fam229b	0.102118778987518	-0.248933601627987	1.51186606574612	-0.164653210537625	0.869216946787226	0.996084667631579	0.2	0	0.2
Tube1	0.0387582022543528	1.20212533168938	1.4081143497953	0.853712862072698	0.393264105771841	0.996084667631579	0	0.333333333333333	0.333333333333333
Ccn6	0.0409236379172485	-0.247250473492929	1.48659469130978	-0.166320029889981	0.867905104001994	0.996084667631579	0.2	0	0.2
Fyn	0.815180412522967	0.614425473486038	2.07174885371246	0.296573338213762	0.766792268547408	0.996084667631579	0.4	0.666666666666667	0.266666666666667
Traf3ip2	0.273574852692773	-0.779101247254603	1.92837696702304	-0.404019162527829	0.68619862793424	0.996084667631579	0.4	0	0.4
Rev3l	0.582421439521142	1.91076166273474	2.14123948276429	0.892362427516976	0.37219870308156	0.996084667631579	0.2	0.666666666666667	0.466666666666667
Mfsd4b4	0	NA	NA	NA	NA	NA	0	0	0
Mfsd4b5	0	NA	NA	NA	NA	NA	0	0	0
Mfsd4b1	0	NA	NA	NA	NA	NA	0	0	0
Slc16a10	0	NA	NA	NA	NA	NA	0	0	0
Rpf2	0.59373487081564	-1.37447502260214	2.84757080928972	-0.482683351760086	0.629320585905035	0.996084667631579	0.4	0	0.4
Gtf3c6	0	NA	NA	NA	NA	NA	0	0	0
Amd1	0.0387582022543528	1.20212533168938	1.4081143497953	0.853712862072698	0.393264105771841	0.996084667631579	0	0.333333333333333	0.333333333333333
Cdk19	1.31556054832921	0.201512527214821	1.30734839386662	0.154138352225169	0.877500648906689	0.996084667631579	0.8	0.666666666666667	0.133333333333333
Slc22a16	0	NA	NA	NA	NA	NA	0	0	0
