_MEMBER_Sulf1,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,60386,M1,0.03571428571428571,1
1,729438,M1,0.03571428571428571,1
1,8611,M1,0.03571428571428571,1
1,6344,M1,0.03571428571428571,1
1,55601,M1,0.03571428571428571,1
1,5216,M1,0.03571428571428571,1
1,2634,M1,0.03571428571428571,1
1,55799,M1,0.03571428571428571,1
1,9630,M1,0.03571428571428571,1
1,29015,M1,0.03571428571428571,1
1,1809,M1,0.03571428571428571,1
1,710,M1,0.03571428571428571,1
1,8038,M1,0.03571428571428571,1
1,10512,M1,0.03571428571428571,1
1,3554,M1,0.03571428571428571,1
1,84166,M1,0.03571428571428571,1
1,9180,M1,0.03571428571428571,1
1,2788,M1,0.03571428571428571,1
1,960,M1,0.03571428571428571,1
1,1903,M1,0.03571428571428571,1
1,57188,M1,0.03571428571428571,1
1,2670,M1,0.03571428571428571,1
1,374569,M1,0.03571428571428571,1
1,144402,M1,0.03571428571428571,1
1,342035,M1,0.03571428571428571,1
1,721,M1,0.03571428571428571,1
1,5074,M1,0.03571428571428571,1
1,23671,M1,0.03571428571428571,1
