gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Hira	0.0882328129223858	-2.92519365084582	1	0.2	1	0.8
Trit1	0.0883488162992566	-2.86094900451823	1	0.4	0.667	0.267
Rfx7	0.0905865557422487	-2.32488248499191	1	0.4	0.667	0.267
Luzp1	0.0906436811329711	2.13949208576999	1	0.8	0	0.8
Smad2	0.090966083111788	-1.92346541041709	1	0.6	1	0.4
Baz1b	0.0914341661790076	-1.96485311969237	1	0.6	0.667	0.0670000000000001
Ptgs1	0.0917720095807196	0.882684445017365	1	1	1	0
Pard3b	0.0919958496438895	-0.619109654686691	1	1	1	0
Wdr37	0.0921995528932534	1.47554299577969	1	0.6	0.333	0.267
B3gntl1	0.0923779973938346	2.51899773259474	1	1	0	1
Sptbn1	0.0931764413342832	-2.10982302842729	1	0.4	1	0.6
Ubl3	0.0954269635396646	1.63518350808586	1	1	0.667	0.333
Uimc1	0.0958022202088094	1.4908149372139	1	0.8	0.333	0.467
Ptprj	0.0959223421199927	0.571308789762319	1	1	1	0
Khdc4	0.0976829354814288	2.85674123607811	1	0.8	0.333	0.467
Cyp27a1	0.0977435086539669	-2.00780713300221	1	0.6	1	0.4
Ap1g1	0.0977720280404016	-1.18605527492312	1	0.8	1	0.2
Tnks	0.098342313008341	-1.75826775069849	1	0.6	1	0.4
Srsf3	0.0983800110275166	1.91777983460159	1	0.6	0.333	0.267
Prkcd	0.0987461826936503	1.68983605046822	1	1	0.667	0.333
Cdip1	0.0994821811971376	-1.83103159051867	1	0.4	0.667	0.267
Ttc17	0.101904259931777	-2.3763973716929	1	0.4	1	0.6
Mettl8	0.1022953090254	2.15258825491825	1	0.8	0	0.8
Casp8	0.102721842310848	1.44889958445256	1	0.8	0.667	0.133
Ap5m1	0.102753470712191	-2.53075683025671	1	0.4	0.667	0.267
Tia1	0.103008952153837	-2.69061311517784	1	0.4	1	0.6
Pgs1	0.104811030721374	-2.61286573019643	1	0.4	0.667	0.267
Dennd10	0.106895677099028	2.1927883979187	1	0.8	0.333	0.467
Ube3c	0.107177648264443	-1.48709787145826	1	0.8	1	0.2
Senp6	0.107185653416579	-1.51849205469255	1	0.8	0.667	0.133
Zc3h6	0.107236608736919	-0.824711196718345	1	0.6	0.667	0.0670000000000001
Abcg2	0.108089416837363	-1.44511253421768	1	0.8	1	0.2
2210408I21Rik	0.108583307213865	-1.98248387461995	1	0.4	1	0.6
Mgat1	0.108682380961266	1.46628316223824	1	0.8	0.333	0.467
Gna15	0.108923446244782	1.17989522384848	1	0.8	0.667	0.133
Syngr1	0.109421986665402	-2.47896854465809	1	0.4	0.667	0.267
Tnfrsf21	0.110306675384771	-1.57457107933915	1	0.8	1	0.2
Sf3b1	0.110565702193238	1.44961932165496	1	0.8	0.667	0.133
Arl15	0.110781655875287	0.812198683800353	1	1	1	0
Zfp280d	0.111765127580258	-1.44480680373758	1	0.8	1	0.2
Sec31a	0.112054274780673	2.44462735944492	1	0.6	0	0.6
Nfyc	0.112142805185978	-1.46128003864012	1	0.6	1	0.4
Dync1li2	0.112656400848614	2.1936768792839	1	0.8	0	0.8
Lrpprc	0.114136459488853	-2.94386332004002	1	0.2	1	0.8
Vcpip1	0.114178160985316	1.35154243751212	1	0.8	0.333	0.467
Sfpq	0.115808553289785	-1.11887878693532	1	0.8	1	0.2
Iqsec2	0.116699880357366	-2.01202387614118	1	0.4	0.667	0.267
Agbl3	0.11693225242549	2.21458746004638	1	0.6	0	0.6
Upp2	0.116989606726568	-2.04180825181291	1	0.4	0.667	0.267
Klhl18	0.117647198140333	1.45835749078446	1	0.8	0.333	0.467
Rnf169	0.117949050002218	1.13916481033672	1	1	0.667	0.333
Copg2	0.119413342434717	1.42935477624497	1	0.8	0.667	0.133
Tbc1d23	0.119526570209628	1.61790695214277	1	1	0.667	0.333
Ppp4r3a	0.120064745350321	2.08089662184137	1	0.8	0	0.8
Ifi27	0.121120974269347	2.90065113664743	1	0.8	0	0.8
Hnmt	0.122779357114165	-2.94352796716023	1	0.2	0.667	0.467
Naip2	0.123103673360269	1.491108964405	1	0.8	0.667	0.133
Rin3	0.124953051535351	1.58332449188164	1	0.8	0.667	0.133
Fbxl20	0.125162680426842	2.21271208698758	1	0.8	0.333	0.467
Larp4b	0.125808331113344	-0.719361646227461	1	1	1	0
Dpy19l1	0.126107146022811	-1.89608832002172	1	0.4	0.667	0.267
Yes1	0.126274080924271	-1.88458119408337	1	0.6	1	0.4
Dlg2	0.12628988046432	-2.94104069638201	1	0.2	0.667	0.467
Ufl1	0.126960379632035	2.53596373370521	1	0.6	0	0.6
