gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Hunk	0.72965742233184	-0.162993045324931	1	0.889	1	0.111
Med23	0.729678619525344	-0.0746800510322028	1	1	1	0
Tm9sf2	0.729830771890364	-0.0152757271942014	1	1	1	0
Scp2	0.730002430986039	-0.0330495213484552	1	0.333	0.222	0.111
Gopc	0.730013198645673	0.0743796619046604	1	1	1	0
Zmiz2	0.730014788941433	0.0208472545279221	1	1	0.778	0.222
Tstd1	0.730114590277271	-0.0417305065601123	1	0.111	0.111	0
Ldhal6b	0.730114590277271	-0.0417305065601123	1	0.111	0.111	0
Snu13	0.730248630701744	0.236111968964264	1	0.667	0.444	0.223
Ano3	0.730280702657132	0.0533706683771169	1	0.222	0.222	0
Thnsl2	0.730404398896939	-0.111408515600464	1	0.222	0.111	0.111
Sephs1	0.730425206165654	0.121308873513292	1	0.889	0.667	0.222
Psmd5	0.730438190697791	0.212034950399516	1	0.889	0.778	0.111
Flnc	0.730442987213681	0.125474681290211	1	0.667	0.333	0.334
Hykk	0.730492019381365	0.0863436049224915	1	0.556	0.333	0.223
Naa80	0.730571658947099	0.108421090135091	1	1	0.778	0.222
Agbl2	0.730677360444942	0.112309066026309	1	0.667	0.556	0.111
Arhgef18	0.730729874782183	-0.0427442787828669	1	0.889	0.889	0
Smurf2	0.730761935590381	9.07255054802825e-05	1	1	1	0
Zdhhc9	0.730806316906821	0.17623430121926	1	1	1	0
2300009A05Rik	0.730812708186322	-0.218553899880103	1	0.556	0.556	0
Slc25a29	0.730907395972927	0.0613101778834246	1	0.778	0.556	0.222
Rap2b	0.731055133994468	0.161804862060623	1	0.222	0.111	0.111
Prickle1	0.731137634231832	0.141530365673375	1	1	1	0
Rab35	0.731313449348867	-0.142977542967275	1	0.667	0.667	0
Nfe2l1	0.731332809605791	-0.132232301425021	1	0.222	0.333	0.111
Fhip2a	0.731357286992372	-0.188337923462433	1	0.778	0.556	0.222
Map7d2	0.731393694124993	0.229765208683293	1	0.889	0.556	0.333
Gnrh1	0.731433362864601	0.120191063242066	1	0.556	0.222	0.334
Adam11	0.731448864289857	0.218274963513057	1	0.667	0.556	0.111
Msl3	0.731454394396968	-0.0224525335502073	1	0.778	1	0.222
Gpr62	0.731491708795866	-0.240387524522256	1	0.889	0.889	0
Foxo6	0.73149903650592	0.0308758486546061	1	0.667	0.556	0.111
Sulf1	0.731507140603546	0.183047841029568	1	0.222	0	0.222
Cep295	0.731597068657645	-0.0868052746877323	1	1	1	0
Gtf2h4	0.731636797563632	-0.0387457646706175	1	0.556	0.667	0.111
Tmem117	0.731713252422364	-0.0309943082429083	1	1	1	0
Mmp2	0.731739958265649	0.0910861283689171	1	0.556	0.444	0.112
Trim21	0.731815966897609	0.0830976352099055	1	0.667	0.444	0.223
Traf1	0.731840272885522	-0.152469865223217	1	0.222	0.222	0
Zfp277	0.731879171805909	0.0209395656627611	1	1	1	0
Ly6a	0.731888589250267	-0.052092252354651	1	0.111	0.222	0.111
Slc14a1	0.731888589250267	-0.052092252354651	1	0.111	0.222	0.111
Ctnnbl1	0.731890339900084	0.0115983913129161	1	1	1	0
Gss	0.732082721883852	-0.0524849007939706	1	1	1	0
Ddx17	0.732107111246822	0.0543176705069186	1	1	1	0
Commd5	0.73220263772619	0.239130221055111	1	0.444	0.111	0.333
Ckap5	0.73229148885814	0.118887897227647	1	1	1	0
