gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Abca9	0.00941179776146236	0.138786270115129	1	1	0.25	0.75
Smyd3	0.00984376316547584	-0.350170190443644	1	1	1	0
Acot2	0.0100845247493571	-0.0901916012259907	1	0.833	0	0.833
Npas3	0.0101760052291291	0.160235599336138	1	1	1	0
Fmnl1	0.0102112311200653	-1.02753058870765	1	0.167	1	0.833
Car2	0.0103614569608181	-0.947051440708982	1	0.667	1	0.333
Arhgef9	0.0104366729488725	-0.762387659106568	1	1	1	0
Zeb1	0.0105721176740454	0.152630445706378	1	1	1	0
Brinp2	0.0106640598728422	-0.827007888951828	1	1	1	0
Abhd2	0.0107137609964631	0.255953217554051	1	1	1	0
Aftph	0.0108218604196669	-0.634581253937958	1	1	1	0
Chchd10	0.0108646251424761	-0.986517145502622	1	0.167	0.75	0.583
Trp53inp2	0.0110218675368801	0.077225047477455	1	1	0.25	0.75
Sqor	0.011366864039952	-0.996366660575576	1	0.833	1	0.167
Ndufaf4	0.0115714808284587	-1.0575199751538	1	1	1	0
Pnma8c	0.0116911283795558	-1.02303179637091	1	0.333	1	0.667
Katnip	0.0117796859873817	-0.693953207347361	1	1	1	0
Stat5a	0.011894910255813	-0.0617846411936727	1	1	0	1
Pfn2	0.0120334200874084	-1.15440834936839	1	0.833	1	0.167
Fzd6	0.0120491344353182	-0.0232947836097754	1	0.833	0.25	0.583
Gadd45gip1	0.0125164872312134	-0.0998996475606764	1	0.833	0	0.833
Lzts3	0.0126518587818453	-1.07018683564727	1	0.667	0.75	0.083
Ifih1	0.0128724220898633	0.0241632087916868	1	1	0.25	0.75
Mxd1	0.012970355600675	0.385394189140356	1	1	0.75	0.25
Pde1c	0.0129897182294047	0.258090927278616	1	1	1	0
Cmc4	0.0129977369302757	-1.03800926710389	1	0.667	1	0.333
Chst15	0.0130505741984251	0.0119051398830954	1	0.667	0	0.667
Pms2	0.0131336507417537	0.434719553719989	1	1	0.75	0.25
Anapc1	0.0131684414888496	0.351384573332915	1	1	1	0
Pex26	0.013214002523689	-0.979583351174089	1	0.667	1	0.333
Itpr1	0.0132387000581802	-0.903195140954612	1	1	1	0
Rnf17	0.0133967404156932	-1.03426208575281	1	0.5	1	0.5
Hdac10	0.0136033242160787	-0.989394272195721	1	0.833	1	0.167
Ndc1	0.0136240338851051	0.225863884704895	1	1	0.75	0.25
Smim11	0.0136276385651394	-1.00582387017554	1	0.833	1	0.167
Ccdc134	0.0138582964349139	0.390972934569747	1	1	1	0
Kcnip2	0.0138865180174183	-0.991582129180342	1	0	0.75	0.75
Atp2b4	0.0140269446780012	0.277191613766997	1	0.833	0.5	0.333
Zfyve28	0.0142566185678379	-1.05511602975471	1	0.333	0.5	0.167
