gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Tut4	0.0334849512008389	-1.92157922240148	1	1	1	0
Slc7a11	0.0338758422393315	-2.66612822285992	1	0.2	0.667	0.467
Shroom2	0.034382236183121	-0.862684830512402	1	1	1	0
Rapgef2	0.0346234067674081	0.673841357166813	1	1	1	0
Smad7	0.0354762225824639	1.39856260795956	1	1	0.667	0.333
Eed	0.0365891074662006	-1.84371654742905	1	1	1	0
Kansl3	0.0380411647794614	-2.47302149816152	1	0.4	0.667	0.267
Ets1	0.038309080441744	0.979809670870532	1	1	1	0
Tln2	0.0383657250642001	-1.57679910103241	1	1	1	0
Hadha	0.038404693049051	1.95999506234008	1	1	0	1
Col5a2	0.0384506323710837	1.40789329966256	1	1	0.667	0.333
Utrn	0.0385477471053896	0.34399365821144	1	1	1	0
Spats2	0.0393639659045117	-2.86098228874924	1	0.2	0.667	0.467
Gbf1	0.039412033883963	-1.30989765462366	1	1	1	0
Hspa5	0.0400069807610976	-2.4812217522677	1	0.4	0.667	0.267
Git1	0.0400486157558767	-2.59214896544656	1	0.2	1	0.8
Azin1	0.0400927822393696	-2.13156327291863	1	0.6	1	0.4
Ube2g1	0.0401582579798787	-1.02570087147301	1	1	1	0
Mcc	0.0404504900287703	0.760844390643531	1	1	1	0
Zmym6	0.0406689276275999	-2.03466935896097	1	0.6	0.333	0.267
Fam53a	0.0406859488071618	-2.81316546637562	1	0.4	0.667	0.267
Mylip	0.0414704325137565	-2.2247647533561	1	0.6	1	0.4
Gab3	0.0417229677901707	1.99698585426238	1	0.8	0	0.8
Pals1	0.0420146708602262	-1.51156994268153	1	0.8	0.667	0.133
Lactb	0.0421407645275358	-2.17454535577192	1	0.4	0.667	0.267
Terf2	0.0426680594337235	-1.40447939252722	1	0.8	1	0.2
Gxylt1	0.0432428019371482	-2.25723745620543	1	0.8	1	0.2
Col4a2	0.0435225800518258	1.12168560143992	1	1	1	0
Tmed3	0.0441641784588817	-2.34990008262527	1	0.6	0.667	0.0670000000000001
Abi1	0.0445904854090724	1.19425556772359	1	1	0.667	0.333
Esr1	0.0459465340490591	-1.2096633460124	1	1	1	0
Tle4	0.0459994267507918	0.983903790063701	1	1	0.333	0.667
Tspan5	0.0466880343454211	0.379168542975796	1	1	1	0
Pnpla6	0.0476496762576806	1.91891475592571	1	1	0.333	0.667
Elmo1	0.0476999760199478	-0.851841246880786	1	1	1	0
Lpar6	0.0479461890758464	1.99467876022774	1	1	0	1
Mtap	0.0482888142063462	-1.64735167309465	1	1	1	0
Zbtb38	0.0484017615651777	-1.7067647115698	1	1	1	0
Prkg1	0.0485373591414863	-0.620932937285677	1	1	1	0
Nos3	0.0487082041961598	1.20495318838664	1	1	0.667	0.333
Mipol1	0.0487218742940312	-1.4083540539719	1	1	1	0
Itpr3	0.0487697354602118	1.93439304811635	1	0.8	0.333	0.467
Ccdc91	0.0488243926739241	1.93724315845212	1	1	0.333	0.667
Lcorl	0.0490525480578739	1.86213080735446	1	1	0.333	0.667
Efr3b	0.049372312002737	0.831756240761557	1	1	0.667	0.333
Man2a1	0.0496805275005405	-1.52815641148366	1	1	1	0
Psmg2	0.0499078185055961	-1.89622771149599	1	0.4	0.667	0.267
Arap3	0.050409404002533	-1.35235913563412	1	1	1	0
Nkd1	0.0509654832303107	-0.99687195667644	1	1	0.667	0.333
Ccdc85a	0.0514561770907451	-0.770048057359102	1	1	1	0
Atg16l2	0.052451679685182	-2.07137727130332	1	0.6	1	0.4
Kcnd2	0.053020215627825	1.91527880806692	1	0.6	0.333	0.267
Glcci1	0.0532526574972919	0.991547194628844	1	1	1	0
Arl15	0.0539342605127338	0.954897508297734	1	1	1	0
Ubr2	0.0540086727333311	-1.41225258991868	1	1	0.667	0.333
Fry	0.0544765899057168	0.352904394957666	1	1	1	0
Kirrel3	0.0555605192895538	3.03078234741534	1	0.8	0	0.8
Upf2	0.0556959282194239	-1.88833687638802	1	0.6	1	0.4
Timp2	0.0557633172044106	-2.26853620561206	1	0.4	0.667	0.267
Ppp2r5e	0.0561093731041745	1.50153139107406	1	1	0.667	0.333
Pcnp	0.0565227023608905	-2.29518271572831	1	0.6	1	0.4
Clybl	0.0565452433924068	-1.4028598106178	1	1	1	0
Nrg3	0.0566095841816351	-1.93380387148358	1	0.6	0.333	0.267
Hmox2	0.0566784844927385	2.05422483530915	1	1	0	1
Jarid2	0.0566986024751707	-1.16470154671731	1	1	1	0
Sp1	0.0567664254275799	1.56242680131113	1	1	0.667	0.333
Arhgef2	0.0577123735853272	1.36510933890644	1	0.8	0.667	0.133
Rora	0.0577567965362946	-0.947140184033835	1	1	1	0
St6galnac3	0.0578299085718582	0.336498641301397	1	1	1	0
Cyb5b	0.0585823498359442	1.7969450020744	1	1	0.667	0.333
Rapgef5	0.0586158290127915	0.472433178269059	1	1	1	0
Apod	0.0597940967463947	-1.51107056724573	1	1	1	0
Sema3c	0.0599294553993365	0.4821520988745	1	1	1	0
Ctla2a	0.0601272727277147	-1.28640830022887	1	1	1	0
Nr3c2	0.061800584441186	-0.752124126855422	1	1	1	0
Rundc3b	0.0620763485292629	0.799159441653099	1	1	1	0
Dennd1a	0.0624928152292075	0.5793515295184	1	1	1	0
Tmem216	0.0627133242244604	-2.29551964332008	1	0.2	0.667	0.467
Pcsk7	0.0628290937432202	-1.52746896022707	1	1	0.667	0.333
Sik2	0.0637968324472136	-1.17643086075391	1	1	1	0
Eng	0.063819833629441	0.959274505855666	1	1	0.667	0.333
Marchf6	0.0638934422559237	-1.50779448067936	1	1	0.667	0.333
Pus3	0.0640602665171131	-1.97410570818701	1	0.2	0.667	0.467
Arhgef28	0.0650567473847144	1.17524752587441	1	1	0.667	0.333
Kitl	0.0651691181923459	0.424716852150237	1	1	1	0
Cep112	0.065198720893105	-1.2225020808315	1	1	1	0
Pura	0.0659236142686843	-1.55841517820087	1	0.8	1	0.2
Sirt1	0.0659365310875251	-2.28099709054371	1	0.4	1	0.6
Dazap1	0.0660693146279681	-1.6773527725728	1	0.8	1	0.2
Mef2c	0.0665034755629656	0.446967094618778	1	1	1	0
Abl2	0.0667033819147467	1.75056044863695	1	1	0	1
Sirt2	0.0669212565490319	-1.99487985955193	1	0.6	0.333	0.267
Akap12	0.0675817657623197	1.3975788320962	1	1	0.333	0.667
Cops5	0.0681462335096635	-1.8839525208598	1	0.6	1	0.4
Prrc1	0.0683036532891927	-1.76624817190143	1	0.8	1	0.2
Cxcl12	0.0683058877745956	1.59619956686793	1	1	0.667	0.333
Galk2	0.0684553267147023	-1.38137705561723	1	1	0.667	0.333
Klf2	0.0684916643161575	0.842249896782501	1	1	0.667	0.333
Rbx1	0.0693267201281442	2.0205203098504	1	0.8	0	0.8
Nsmce2	0.0697698883016447	1.30159854956451	1	1	0.667	0.333
Mpp7	0.0702650791250513	1.57391879248129	1	1	0.333	0.667
Smc1a	0.0705256461376991	0.820972770260554	1	1	0.667	0.333
Glg1	0.0705448529960458	-1.47285104267128	1	1	1	0
Oma1	0.0708242246623482	-1.27868825687619	1	1	1	0
Utp14a	0.0709130578221168	1.86956478054946	1	1	0	1
Tmem248	0.0716567994548197	-2.31407068993542	1	0.6	0.667	0.0670000000000001
Stx12	0.0717393627710029	-1.8500110902716	1	0.8	1	0.2
Ebf1	0.0719032865801425	0.29729740077861	1	1	1	0
Senp5	0.0721172170045458	-1.90131058605765	1	0.8	1	0.2
Kank4	0.0724290505740189	0.883881302310195	1	1	0.667	0.333
Snx10	0.0727814933380968	-2.50444894858639	1	0.2	0.667	0.467
