gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Srsf5	0.0395159197818795	-0.99370888898551	1	0.833	0.75	0.083
Ddx6	0.0397545248789144	-1.04612052945771	1	1	1	0
Maf	0.0400301013222793	-0.819937762621772	1	1	1	0
Sparc	0.0420329504290444	-1.43432729688753	1	0.833	1	0.167
Chfr	0.0426212513334551	-2.3273094754719	1	0.5	0.5	0
Ly86	0.0435110703463107	1.0247035391441	1	1	1	0
Nr6a1	0.0435583362500495	-0.554047283621544	1	0.833	0.75	0.083
Cr1l	0.0435706444646746	-2.05779213433018	1	0.667	1	0.333
Rars	0.0437218680440691	-2.52144814532228	1	0.5	0.75	0.25
Mef2a	0.0439428278703951	-0.625563294198535	1	1	1	0
Plxdc1	0.0443654524100207	1.86557991613887	1	0.833	0.5	0.333
Tnrc6a	0.044492559826387	-1.22123724579168	1	0.833	1	0.167
Herc6	0.0445633942676914	2.81248699555309	1	0.667	0	0.667
Plekhg5	0.0447968556051408	-3.22967683100791	1	0	0.75	0.75
Rasal2	0.0454196996907569	-2.03054209244293	1	0.667	1	0.333
Wwp1	0.0473597864777826	-1.28172582219353	1	0.833	1	0.167
Dpy19l4	0.0474624763600897	1.85182541329673	1	0.833	0.5	0.333
Wdr26	0.0484373434554659	-0.803156040895749	1	1	1	0
Tmed5	0.0488054961712798	-2.43333651349824	1	0.5	0.75	0.25
E2f3	0.0493042531978874	1.90946329881888	1	0.833	0.5	0.333
Dnajc10	0.0494685213353012	-3.50538136110166	1	0	0.75	0.75
Rrbp1	0.0494794366199397	1.58005200703051	1	1	0.75	0.25
Vps13d	0.0498606607517784	-1.41995212880791	1	0.667	1	0.333
Asap1	0.0507241168379523	1.19831125202117	1	1	0.75	0.25
Dgkd	0.0519367411378058	-0.441498675228134	1	1	0.75	0.25
Arap2	0.0524868592277891	-2.37422727261064	1	0.5	0.75	0.25
Dcaf17	0.0525001963036061	-2.62675930962684	1	0.667	1	0.333
Tcf20	0.0531696760539226	0.8728577722971	1	0.833	0.75	0.083
Cul3	0.0537769799503007	-0.424976161809913	1	1	0.75	0.25
