_MEMBER_Gm973,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,29844,M1,0.02040816326530612,1
1,25902,M1,0.02040816326530612,1
1,137392,M1,0.02040816326530612,1
1,11255,M1,0.02040816326530612,1
1,91057,M1,0.02040816326530612,1
1,7913,M1,0.02040816326530612,1
1,8448,M1,0.02040816326530612,1
1,2681,M1,0.02040816326530612,1
1,310,M1,0.02040816326530612,1
1,9134,M1,0.02040816326530612,1
1,3131,M1,0.02040816326530612,1
1,8419,M1,0.02040816326530612,1
1,9572,M1,0.02040816326530612,1
1,56154,M1,0.02040816326530612,1
1,6567,M1,0.02040816326530612,1
1,26993,M1,0.02040816326530612,1
1,138199,M1,0.02040816326530612,1
1,256006,M1,0.02040816326530612,1
1,4038,M1,0.02040816326530612,1
1,9975,M1,0.02040816326530612,1
1,10678,M1,0.02040816326530612,1
1,64506,M1,0.02040816326530612,1
1,54894,M1,0.02040816326530612,1
1,25966,M1,0.02040816326530612,1
1,93035,M1,0.02040816326530612,1
1,140458,M1,0.02040816326530612,1
1,148523,M1,0.02040816326530612,1
1,167410,M1,0.02040816326530612,1
1,7139,M1,0.02040816326530612,1
1,5355,M1,0.02040816326530612,1
1,170850,M1,0.02040816326530612,1
1,57794,M1,0.02040816326530612,1
1,1628,M1,0.02040816326530612,1
1,164592,M1,0.02040816326530612,1
1,2046,M1,0.02040816326530612,1
1,55509,M1,0.02040816326530612,1
1,57101,M1,0.02040816326530612,1
1,2272,M1,0.02040816326530612,1
1,55117,M1,0.02040816326530612,1
1,145957,M1,0.02040816326530612,1
1,9099,M1,0.02040816326530612,1
1,116966,M1,0.02040816326530612,1
1,79365,M1,0.02040816326530612,1
1,140862,M1,0.02040816326530612,1
1,7008,M1,0.02040816326530612,1
1,146845,M1,0.02040816326530612,1
1,9162,M1,0.02040816326530612,1
1,79710,M1,0.02040816326530612,1
1,8863,M1,0.02040816326530612,1
