_MEMBER_Rpl37a,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,3984,M1,0.03571428571428571,1
1,6170,M1,0.03571428571428571,1
1,5621,M1,0.03571428571428571,1
1,201625,M1,0.03571428571428571,1
1,64421,M1,0.03571428571428571,1
1,824,M1,0.03571428571428571,1
1,9645,M1,0.03571428571428571,1
1,4504,M1,0.03571428571428571,1
1,136227,M1,0.03571428571428571,1
1,23521,M1,0.03571428571428571,1
1,727957,M1,0.03571428571428571,1
1,59284,M1,0.03571428571428571,1
1,55898,M1,0.03571428571428571,1
1,170691,M1,0.03571428571428571,1
1,57447,M1,0.03571428571428571,1
1,118813,M1,0.03571428571428571,1
1,57060,M1,0.03571428571428571,1
1,11113,M1,0.03571428571428571,1
1,5127,M1,0.03571428571428571,1
1,1191,M1,0.03571428571428571,1
1,93145,M1,0.03571428571428571,1
1,773,M1,0.03571428571428571,1
1,6232,M1,0.03571428571428571,1
1,5863,M1,0.03571428571428571,1
1,6227,M1,0.03571428571428571,1
1,25851,M1,0.03571428571428571,1
1,23299,M1,0.03571428571428571,1
1,26528,M1,0.03571428571428571,1
