gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Sqstm1	0.00247785928949716	-6.63378046392486	1	0	0.055	0.055
Abhd10	0.00247785928949716	-6.96205244219494	1	0	0.055	0.055
Cyb5a	0.00247785928949716	-7.12430631561238	1	0	0.055	0.055
Ywhae	0.00252228686716635	1.92561680064131	1	0.202	0.079	0.123
Dock10	0.00256527819476328	-0.781848622634445	1	0.337	0.504	0.167
Adamts14	0.00265661847696211	-4.2113742249699	1	0.006	0.071	0.065
Srsf10	0.00273417960513694	2.14325158122806	1	0.153	0.047	0.106
Abi2	0.0028338691504848	2.67940466642896	1	0.117	0.024	0.093
Acss1	0.00285827575287444	-3.6791813257886	1	0.006	0.071	0.065
Ttc3	0.00290532220593455	1.57600785196882	1	0.16	0.047	0.113
Bdp1	0.00291183547455752	-2.46453706569337	1	0.031	0.118	0.087
Glis2	0.00291383041919993	6.65769436242626	1	0.067	0	0.067
Ubap2	0.00294991820060246	2.57055578826678	1	0.117	0.024	0.093
Slc22a8	0.00296361621374583	-1.1563819525027	1	0.166	0.299	0.133
Ugp2	0.0030173339254435	-2.04218461169188	1	0.074	0.181	0.107
Ppp2r5e	0.00320398725534554	1.50581662084602	1	0.153	0.047	0.106
Togaram1	0.0033381763415848	-2.7419534888217	1	0.018	0.094	0.076
Grb2	0.00341815879119048	-2.73613968251129	1	0.018	0.094	0.076
Rhoj	0.00356618180882121	0.918203308050992	1	0.344	0.181	0.163
Serbp1	0.00370471875770955	1.95764746464565	1	0.129	0.031	0.098
Vgll4	0.00375646281425557	1.74457361488078	1	0.129	0.031	0.098
Setd5	0.00380521133777122	0.807908470337435	1	0.448	0.291	0.157
Lrp1	0.00380546982298309	-1.52934125214046	1	0.067	0.173	0.106
Pcif1	0.00384485889266664	-2.27144407623582	1	0.018	0.094	0.076
Pten	0.00385601972676383	-0.531049659883883	1	0.607	0.717	0.11
Kdm4c	0.00400562260890554	0.951870148506624	1	0.153	0.047	0.106
Asb3	0.00416127594257179	1.58686184269456	1	0.172	0.063	0.109
Fam13c	0.00425499150651249	-2.09359029522726	1	0.074	0.173	0.099
Ppp1r12c	0.00430996447414503	0.926555832531573	1	0.282	0.134	0.148
Acadsb	0.00433031477479487	2.2999105357476	1	0.135	0.039	0.096
Efhd2	0.00433226587884525	-3.3328314730474	1	0.012	0.079	0.067
Anapc10	0.00437148756312596	3.91216815461291	1	0.08	0.008	0.072
Bcl9l	0.00438835143291959	-3.45580913696957	1	0.012	0.079	0.067
Stxbp4	0.00442877825477734	2.55822226919198	1	0.11	0.024	0.086
Nrxn1	0.00444853029776496	-0.748718291243866	1	0.184	0.331	0.147
Rufy2	0.00450250129535018	-3.58443150543776	1	0.012	0.079	0.067
Rgs7bp	0.00459289065882327	2.58063613977025	1	0.123	0.031	0.092
Nrbp1	0.00461123894181613	6.2186829413177	1	0.061	0	0.061
Sel1l	0.00461123894181613	6.41977307681072	1	0.061	0	0.061
Eps15	0.00462394246399706	-1.6315250191779	1	0.104	0.213	0.109
Pspc1	0.00466817879280017	1.30249769299108	1	0.209	0.087	0.122
Dpysl2	0.00473890684929639	-3.1889450468436	1	0.012	0.079	0.067
Dlc1	0.00475028079914472	0.361466596920567	1	0.994	1	0.00600000000000001
Mthfd1l	0.00479973737139242	-2.76566415190674	1	0.012	0.079	0.067
Atg3	0.00482614603398818	-2.40712988602941	1	0.025	0.102	0.077
Fnip2	0.00490484447457286	-1.45178727609506	1	0.067	0.173	0.106
Tut4	0.00496393666362752	0.976357340949994	1	0.258	0.126	0.132
Psd3	0.00499737481663102	0.510904689663326	1	0.755	0.614	0.141
Yod1	0.00516929312256747	-6.4047517796785	1	0	0.047	0.047
Atp5e	0.00516929312256747	-6.63058678101466	1	0	0.047	0.047
Eloa	0.00516929312256747	-6.50309212837647	1	0	0.047	0.047
Coro7	0.00516929312256747	-6.41796815883206	1	0	0.047	0.047
Grk5	0.00526585350606048	0.561925566982449	1	0.479	0.299	0.18
Mapk3	0.00541292223012923	-4.04805300450915	1	0.006	0.063	0.057
Atg12	0.00554828186174602	3.03989549585515	1	0.092	0.016	0.076
Tomm40	0.00557167748626247	-3.5511213695185	1	0.006	0.063	0.057
Rspry1	0.00562208915482553	1.42534069957976	1	0.135	0.039	0.096
Cops5	0.00565262018963755	-3.31454812370059	1	0.006	0.063	0.057
Dcaf12	0.00565262018963755	-3.62907591002393	1	0.006	0.063	0.057
Paxip1	0.00565262018963755	-3.83706290435815	1	0.006	0.063	0.057
Ino80	0.00565838311458591	1.35461284834002	1	0.184	0.071	0.113
Mtf2	0.00573462213225619	-3.3373825436745	1	0.006	0.063	0.057
Mink1	0.00573462213225619	-3.22768135528819	1	0.006	0.063	0.057
Crebbp	0.00578435385177086	0.716725129828733	1	0.46	0.307	0.153
Tbck	0.0058562426178841	2.00318046711161	1	0.153	0.055	0.098
Mga	0.00590544047115015	1.33470028369334	1	0.202	0.087	0.115
Rictor	0.00593293107907501	1.22226157196186	1	0.19	0.079	0.111
Cpe	0.00607346449688748	-1.15540306949461	1	0.006	0.063	0.057
Egfr	0.00625998166946973	0.845069090511548	1	0.172	0.063	0.109
Comt	0.00633986935046288	-2.11609271437209	1	0.037	0.118	0.081
Ttf1	0.00658705978961763	-2.64397272170911	1	0.018	0.087	0.069
Arnt	0.00667515948814369	1.28006930347761	1	0.178	0.071	0.107
Exoc6b	0.00679124318081294	0.671343732937406	1	0.417	0.252	0.165
Trmt2b	0.00693535638105355	-2.37391248301176	1	0.018	0.087	0.069
Ppm1a	0.00715966612682473	1.80793847671045	1	0.104	0.024	0.08
Ccn2	0.0073028053504126	6.39731711628581	1	0.055	0	0.055
Itgb5	0.00733159731487397	0.613514593111601	1	0.313	0.157	0.156
Lrch3	0.00734388965333722	0.805669370437243	1	0.282	0.142	0.14
Vav3	0.00734422457401203	3.40723979761827	1	0.074	0.008	0.066
Prxl2c	0.00734422457401203	3.42099666924238	1	0.074	0.008	0.066
Fermt2	0.00749119875391319	0.443308837661155	1	0.552	0.378	0.174
Ank2	0.00758527491308493	-0.940104365688074	1	0.362	0.48	0.118
Tln2	0.00762473815433358	1.18274167928606	1	0.135	0.039	0.096
Mtmr3	0.00773239719049732	-0.860429194694371	1	0.196	0.323	0.127
Nostrin	0.00783997676179321	-1.94448447920116	1	0.086	0.181	0.095
Ahnak	0.00795064795773229	-0.940596131065883	1	0.117	0.236	0.119
Nhsl2	0.00812717233047905	1.54231171637453	1	0.153	0.055	0.098
Nexn	0.00812791567632833	1.75152686685426	1	0.172	0.071	0.101
Sparcl1	0.00823683001652678	-0.538014550077026	1	0.35	0.472	0.122
Nup214	0.00825542331137884	-2.44601022356228	1	0.025	0.094	0.069
Huwe1	0.00827699440071064	0.655104200950212	1	0.374	0.22	0.154
Rtn3	0.00830631496788175	1.76241130828055	1	0.141	0.047	0.094
Tcp11l2	0.00834276484158672	3.12394258650685	1	0.086	0.016	0.07
Ctnnd1	0.00849879579865374	0.510883050575207	1	0.38	0.228	0.152
Snapc3	0.00850131965964976	-1.48964137015822	1	0.098	0.197	0.099
Pcmtd2	0.00851993174852432	3.16255507715089	1	0.086	0.016	0.07
Wdr33	0.00883600428173109	-1.01106719951823	1	0.123	0.236	0.113
Tgfb3	0.00907178903785237	2.85386357671126	1	0.086	0.016	0.07
