gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Atxn7l1	0.00108371773691969	-2.21259011241691	1	0.046	0.181	0.135
Dnajc19	0.00109667831791455	-2.36379850552631	1	0.038	0.169	0.131
Sil1	0.0011124850033322	-3.04827899889673	1	0.015	0.12	0.105
Trpc1	0.00115808619419211	-3.18697479252689	1	0.015	0.12	0.105
Scaf4	0.00115808619419211	-3.12880772712178	1	0.015	0.12	0.105
Rbms1	0.00118526502351494	0.741675061032208	1	0.746	0.59	0.156
Itga1	0.00119566338264807	0.687285665464584	1	0.831	0.723	0.108
Apba1	0.00124350956823903	-2.25733416935444	1	0.054	0.193	0.139
Plce1	0.00124525180105251	0.637493548937351	1	0.838	0.687	0.151
Ube2w	0.00125451382627013	-2.89407834068417	1	0.015	0.12	0.105
Rps27a	0.00125451382627013	-2.73907906591591	1	0.015	0.12	0.105
Actr2	0.00130545929901669	-2.6938155848967	1	0.015	0.12	0.105
Esyt2	0.00131509293449093	-1.01073366681319	1	0.169	0.386	0.217
Ddx3y	0.0013184619446599	-2.72584017570552	1	0.015	0.12	0.105
B3galt1	0.00137218124376149	0.991760852856176	1	0.238	0.06	0.178
Ano1	0.00145589252338843	0.934924011305238	1	0.646	0.482	0.164
Camk2d	0.00155884871781024	-1.05315048606518	1	0.377	0.566	0.189
Pag1	0.00159526851604612	-1.97341803525616	1	0.054	0.193	0.139
Slc30a9	0.00163375557957355	-2.6965047319466	1	0.023	0.133	0.11
Ppm1h	0.00165503607267174	-3.88307804023123	1	0.008	0.096	0.088
Iqsec2	0.00165503607267174	-3.85483642737165	1	0.008	0.096	0.088
Rab14	0.00166368171472322	-2.56503249536934	1	0.023	0.133	0.11
Pdia3	0.00169243128647835	-3.6475250422647	1	0.008	0.096	0.088
Ppm1l	0.00169243128647835	-4.21455915048958	1	0.008	0.096	0.088
H2-K1	0.00169243128647835	-3.8014590611143	1	0.008	0.096	0.088
Rps3a1	0.00172505241963983	-2.52670696630451	1	0.023	0.133	0.11
Stk38l	0.00172505241963983	-2.70598650817359	1	0.023	0.133	0.11
Ktn1	0.0017390128037515	-1.56683511048763	1	0.085	0.241	0.156
Fancc	0.00176956358423056	-3.80652625930968	1	0.008	0.096	0.088
Ankrd13c	0.00180932975563009	-3.70047064405518	1	0.008	0.096	0.088
Ldah	0.00180932975563009	-3.60562781079138	1	0.008	0.096	0.088
Septin4	0.00181989127701662	1.02917882666569	1	0.508	0.325	0.183
Pla2g4a	0.0018913366073046	-3.25022854697017	1	0.008	0.096	0.088
Mapre1	0.0018913366073046	-3.26563933820542	1	0.008	0.096	0.088
Cox8a	0.00193360778329686	-3.11919169954644	1	0.008	0.096	0.088
Macf1	0.00193714381428688	0.84675236586144	1	0.569	0.373	0.196
Slc4a3	0.0019485485962838	-6.43752998060571	1	0	0.072	0.072
Api5	0.0019485485962838	-6.89824629115819	1	0	0.072	0.072
Rnf114	0.0019485485962838	-7.27403223537505	1	0	0.072	0.072
Cmpk1	0.0019485485962838	-6.85743427449886	1	0	0.072	0.072
Efcab14	0.0019485485962838	-7.21001240292374	1	0	0.072	0.072
Rpl11	0.0019485485962838	-6.67408647925795	1	0	0.072	0.072
Klhdc10	0.0019485485962838	-6.2164435208175	1	0	0.072	0.072
Ap2s1	0.0019485485962838	-6.82003835643953	1	0	0.072	0.072
Fam168a	0.0019485485962838	-6.77572897703069	1	0	0.072	0.072
Cox4i1	0.0019485485962838	-6.76938909755681	1	0	0.072	0.072
Bcr	0.0019485485962838	-6.35381317946207	1	0	0.072	0.072
Atp5b	0.0019485485962838	-6.62093822050866	1	0	0.072	0.072
Zfyve16	0.0019485485962838	-6.68475163866196	1	0	0.072	0.072
Pabpc1	0.0019485485962838	-6.93107231269356	1	0	0.072	0.072
Rpap3	0.0019485485962838	-6.70476186018254	1	0	0.072	0.072
Abcf3	0.0019485485962838	-6.7048097407823	1	0	0.072	0.072
Cox7a2l	0.0019485485962838	-6.80505613446018	1	0	0.072	0.072
Carnmt1	0.0019485485962838	-6.89077833931794	1	0	0.072	0.072
Shprh	0.00202782990508345	-2.11963756451056	1	0.023	0.133	0.11
Dock6	0.00206158139673666	0.845204768078544	1	0.662	0.518	0.144
Ptpn12	0.00208275900356142	-2.35857637778613	1	0.023	0.133	0.11
Rgs7bp	0.00213912403445699	-2.01870678954415	1	0.023	0.133	0.11
Trio	0.00217433420893216	-2.46092426420071	1	0.031	0.145	0.114
Tle1	0.00217947123324694	1.90241031420308	1	0.215	0.06	0.155
Pdss2	0.00226900511828492	-1.16017846869168	1	0.069	0.217	0.148
Ap1g1	0.0023627700294535	-2.19489809601356	1	0.031	0.145	0.114
Sox5	0.00238896443103957	0.463484253140373	1	0.915	0.867	0.048
Usp15	0.00248289206108153	-2.09860703823302	1	0.031	0.145	0.114
Zscan26	0.00250476858973987	-3.23671443850119	1	0.015	0.108	0.093
Hapstr1	0.00255441193592553	-3.14165489733185	1	0.015	0.108	0.093
Ppp3cc	0.00273716587226769	-1.89962467163716	1	0.046	0.169	0.123
Spag9	0.00281335787753345	-1.49525104394914	1	0.077	0.217	0.14
Sulf1	0.00281639488309218	-3.56908380773299	1	0.015	0.108	0.093
Nhlrc2	0.00281639488309218	-2.80735291680321	1	0.015	0.108	0.093
