gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Tef	1.1071996063942e-07	-3.3114055002129	0.00198388025473712	0.025	0.204	0.179
Coro2a	3.34405260225633e-07	-2.96532330237106	0.0059918734527229	0.053	0.265	0.212
Apoe	6.76178624643695e-07	-1.77260125589109	0.0121157685963657	0.13	0.408	0.278
Zbtb16	1.12134042664512e-06	-1.6095896424072	0.0200921777646273	0.194	0.49	0.296
Fam168a	1.14509074077987e-06	-3.41246463833522	0.0205177358932938	0.018	0.163	0.145
Per2	1.34844370415179e-06	-7.96543657701637	0.0241614142909917	0	0.082	0.082
Rit1	1.63095061494776e-06	-5.8207852122885	0.029223373118634	0.004	0.102	0.098
Atg3	3.30036480012223e-06	-4.10190232001375	0.0591359364885901	0.021	0.163	0.142
Kifc3	3.53611588723642e-06	-2.95913185792743	0.0633601244675021	0.014	0.143	0.129
Snx19	1.68284485334024e-05	-4.98959542302655	0.301532140821505	0.007	0.102	0.095
Alkbh3	1.73267093779986e-05	-4.91775882479445	0.310459978634979	0.007	0.102	0.095
Khdrbs1	1.98150745270664e-05	-3.1931996952359	0.355046505375975	0.035	0.184	0.149
Slc24a3	2.94704914054397e-05	-7.57488823259176	0.528052265002669	0	0.061	0.061
Mettl14	2.94704914054397e-05	-7.58443233605426	0.528052265002669	0	0.061	0.061
Inip	2.94704914054397e-05	-8.41173417485948	0.528052265002669	0	0.061	0.061
Ift172	2.94704914054397e-05	-7.65743576604606	0.528052265002669	0	0.061	0.061
Slc25a16	2.94704914054397e-05	-7.9572794319447	0.528052265002669	0	0.061	0.061
Cry1	2.94704914054397e-05	-7.75028341403947	0.528052265002669	0	0.061	0.061
Pin4	3.22177556412513e-05	-5.85737907277545	0.577277745579941	0.004	0.082	0.078
Tmem216	3.33103142812258e-05	-4.94794998008542	0.596854211291004	0.004	0.082	0.078
Edem3	3.44380079957686e-05	-4.57250171370072	0.617060227268182	0.004	0.082	0.078
Art3	3.56018989548978e-05	-4.12049130269059	0.63791482547386	0.004	0.082	0.078
Arid1b	4.18364206040069e-05	3.74910234622592	0.749624984382596	0.342	0.061	0.281
Aamdc	9.69194988657803e-05	-4.88641620205603	1	0.011	0.102	0.091
Fnip1	0.000110821808642077	-3.21772562022422	1	0.025	0.143	0.118
Syne1	0.000113650300893396	1.16625691522283	1	0.683	0.408	0.275
Otud7b	0.000115877732634872	-1.53793809206267	1	0.148	0.367	0.219
Ube2g1	0.000208559106105148	-1.67545989098627	1	0.148	0.347	0.199
Flt1	0.000217097324530536	0.646498822023535	1	0.951	0.959	0.00800000000000001
Ola1	0.000291334756244018	-4.1046526043746	1	0.007	0.082	0.075
Timp2	0.000291334756244018	-3.54487132850048	1	0.007	0.082	0.075
Psmg2	0.00029929233240096	-3.2133409362311	1	0.007	0.082	0.075
Wdfy3	0.000334985088596805	-1.68158001159238	1	0.173	0.367	0.194
Kansl3	0.000336580599178912	-3.04543806321578	1	0.021	0.122	0.101
Nfix	0.000363213739358341	-3.10165487673883	1	0.039	0.163	0.124
Usp25	0.000414211506078263	4.69341154895891	1	0.239	0.02	0.219
Pfkfb3	0.000421303018837947	-3.7882608229198	1	0.014	0.102	0.088
Zmym6	0.000421303018837947	-3.33638248414081	1	0.014	0.102	0.088
Hira	0.000430418460871409	-2.97715327368102	1	0.021	0.122	0.101
Lactb	0.000469170976555987	-3.5124339631622	1	0.014	0.102	0.088
Prrc2b	0.000471709013871271	-2.08206546497007	1	0.049	0.184	0.135
Taf15	0.000562996879001625	-1.88141709806612	1	0.113	0.286	0.173
Optn	0.000609300993135528	-4.95705999023366	1	0.004	0.061	0.057
Taf13	0.000609300993135528	-5.07640637766408	1	0.004	0.061	0.057
Snx10	0.000609300993135528	-4.4620520144291	1	0.004	0.061	0.057
Trappc11	0.000609300993135528	-4.63302209620622	1	0.004	0.061	0.057
Git1	0.000609300993135528	-4.69197360802257	1	0.004	0.061	0.057
Tsc2	0.000609300993135528	-4.58520387940668	1	0.004	0.061	0.057
Rbm3	0.000609300993135528	-5.14421603283345	1	0.004	0.061	0.057
Eloc	0.000628691461708988	-4.0407123856957	1	0.004	0.061	0.057
Dnpep	0.000628691461708988	-4.70990252112447	1	0.004	0.061	0.057
Casp9	0.000628691461708988	-4.37090724964718	1	0.004	0.061	0.057
Ucp2	0.000628691461708988	-4.77111353167115	1	0.004	0.061	0.057
Trmt9b	0.000628691461708988	-4.39492119568699	1	0.004	0.061	0.057
Ercc6	0.000628691461708988	-4.02796911839012	1	0.004	0.061	0.057
Polh	0.000628691461708988	-4.7867293747362	1	0.004	0.061	0.057
Pcdhga12	0.000628691461708988	-4.46970820791099	1	0.004	0.061	0.057
Nenf	0.00066455598502799	-7.54757441512491	1	0	0.041	0.041
Angptl2	0.00066455598502799	-8.05623435843469	1	0	0.041	0.041
Cd302	0.00066455598502799	-7.26747646472837	1	0	0.041	0.041
Naxe	0.00066455598502799	-7.43255489152221	1	0	0.041	0.041
Mrpl37	0.00066455598502799	-6.45651640420653	1	0	0.041	0.041
Pafah2	0.00066455598502799	-6.39034522646483	1	0	0.041	0.041
Stpg1	0.00066455598502799	-7.75731920596262	1	0	0.041	0.041
C1qb	0.00066455598502799	-6.4789709169437	1	0	0.041	0.041
Park7	0.00066455598502799	-7.29836458140769	1	0	0.041	0.041
Mterf1b	0.00066455598502799	-6.42183739760612	1	0	0.041	0.041
Enoph1	0.00066455598502799	-7.28981427989995	1	0	0.041	0.041
Tmem120a	0.00066455598502799	-7.18092427182709	1	0	0.041	0.041
Styxl1	0.00066455598502799	-7.18092427182709	1	0	0.041	0.041
Ano2	0.00066455598502799	-6.76846059212834	1	0	0.041	0.041
Smg9	0.00066455598502799	-7.38566922568622	1	0	0.041	0.041
Megf8	0.00066455598502799	-5.92158666389804	1	0	0.041	0.041
Det1	0.00066455598502799	-6.66694737780929	1	0	0.041	0.041
Acsm3	0.00066455598502799	-7.16071029491678	1	0	0.041	0.041
Map1s	0.00066455598502799	-7.36446130921179	1	0	0.041	0.041
Junb	0.00066455598502799	-6.90636957551528	1	0	0.041	0.041
Psmb10	0.00066455598502799	-7.35331794475839	1	0	0.041	0.041
Zfp1	0.00066455598502799	-6.15195243149203	1	0	0.041	0.041
Usp10	0.00066455598502799	-6.50885099326641	1	0	0.041	0.041
Pts	0.00066455598502799	-6.69075475120169	1	0	0.041	0.041
Fdxacb1	0.00066455598502799	-7.0192322526423	1	0	0.041	0.041
Pfkl	0.00066455598502799	-6.15195243149203	1	0	0.041	0.041
Gnptab	0.00066455598502799	-7.39697217135031	1	0	0.041	0.041
Dctn2	0.00066455598502799	-6.15195243149203	1	0	0.041	0.041
Nlrp1b	0.00066455598502799	-7.40252993537165	1	0	0.041	0.041
Smyd4	0.00066455598502799	-6.7289929168975	1	0	0.041	0.041
Lhx1	0.00066455598502799	-7.00980475101241	1	0	0.041	0.041
Slc25a47	0.00066455598502799	-6.85521553815441	1	0	0.041	0.041
Zfp729b	0.00066455598502799	-7.28863767862367	1	0	0.041	0.041
Rfesd	0.00066455598502799	-6.78713515383896	1	0	0.041	0.041
Nkiras1	0.00066455598502799	-6.82852725115379	1	0	0.041	0.041
Commd6	0.00066455598502799	-6.03638018153647	1	0	0.041	0.041
Zfp706	0.00066455598502799	-6.71486215922053	1	0	0.041	0.041
Lrrc14	0.00066455598502799	-6.82760821352633	1	0	0.041	0.041
Spryd3	0.00066455598502799	-7.16359379816998	1	0	0.041	0.041
Tango2	0.00066455598502799	-6.86209861620762	1	0	0.041	0.041
Atp5o	0.00066455598502799	-7.45101189434599	1	0	0.041	0.041
Uqcc2	0.00066455598502799	-7.70257947692917	1	0	0.041	0.041
C330018D20Rik	0.00066455598502799	-6.6610045338522	1	0	0.041	0.041
Ctsf	0.00066455598502799	-6.33749679408888	1	0	0.041	0.041
Ndufb8	0.00066455598502799	-7.29762365622708	1	0	0.041	0.041
Xlr	0.00066455598502799	-7.31563481941797	1	0	0.041	0.041
Col25a1	0.000669206283195943	-3.44199978793943	1	0.004	0.061	0.057
Xpnpep3	0.000669206283195943	-3.08937418048332	1	0.004	0.061	0.057
Med15	0.000702781959737339	-2.63190008848829	1	0.032	0.143	0.111
Rprd2	0.000817269744055974	-1.91274177635484	1	0.063	0.204	0.141
Sorbs2	0.000828948501530392	0.653749176056829	1	0.863	0.612	0.251
Cep112	0.000908560958576613	-1.00019363363253	1	0.165	0.367	0.202
Macf1	0.000937874922245507	0.799701125394751	1	0.884	0.694	0.19
Ywhab	0.00103813190635461	-2.63671992000266	1	0.025	0.122	0.097
Ehmt1	0.00113758852662511	-1.45467989961597	1	0.116	0.286	0.17
Rab6a	0.00116847678163617	-2.35749804607305	1	0.025	0.122	0.097
Insig2	0.00125246314779949	-3.6843938784687	1	0.011	0.082	0.071
Ell	0.00125246314779949	-3.84597304661641	1	0.011	0.082	0.071
Aqr	0.00137051298242948	-3.23159997172394	1	0.011	0.082	0.071
Upf2	0.00137566274645225	-2.38534495140565	1	0.046	0.163	0.117
Tti1	0.00138236067929848	-2.64761507558149	1	0.018	0.102	0.084
Eed	0.00138236067929848	-2.7983437408449	1	0.018	0.102	0.084
Traf6	0.0014015875490552	-2.97923730221112	1	0.011	0.082	0.071
Pdgfa	0.00153249387528657	-2.20037512839417	1	0.011	0.082	0.071
Tmf1	0.00161079627146405	-1.85969552153614	1	0.046	0.163	0.117
Slc31a1	0.00162952999866329	-1.13668890963901	1	0.116	0.286	0.17
Terf2	0.00180489062862951	-2.17004831297318	1	0.06	0.184	0.124
Shroom2	0.00180645571903201	-1.33284487683719	1	0.204	0.388	0.184
Dcp1b	0.00185609682642507	-3.123403672053	1	0.028	0.122	0.094
Usp6nl	0.00196994221566039	3.23921389050323	1	0.25	0.061	0.189
Jarid2	0.00207281920583068	-1.18686929419176	1	0.134	0.306	0.172
Nr1d2	0.00254568290706812	-1.97927750938313	1	0.12	0.265	0.145
Atrx	0.00259027173514398	1.21510155413062	1	0.511	0.306	0.205
Ubr2	0.00261191253354408	-1.80173501890939	1	0.06	0.184	0.124
Egfl7	0.00264153122797777	0.86001271150423	1	0.644	0.429	0.215
Eml1	0.00287130848227055	-1.00563500413841	1	0.134	0.306	0.172
Pura	0.00293132684543157	-2.00349093952693	1	0.039	0.143	0.104
Mapk8ip3	0.00296769646775862	-3.04457060322954	1	0.021	0.102	0.081
Pals1	0.00300825530225351	-1.76916287276947	1	0.06	0.184	0.124
Gbf1	0.00302154341413858	-1.83802732294931	1	0.106	0.245	0.139
Dock4	0.00304374510516622	0.775411298844106	1	0.813	0.673	0.14
