gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Gnai3	0.125952135163973	0.700523081619356	1	0.097	0.055	0.042
Calcrl	0.125995734501426	0.457719441730064	1	0.367	0.295	0.072
Prpf3	0.126237280088861	-0.66943393090068	1	0.024	0.055	0.031
Glg1	0.126292367332012	-0.933436663913723	1	0.145	0.191	0.046
Rpl22	0.126400996341195	0.854699584462423	1	0.043	0.016	0.027
As3mt	0.126718075612965	0.900088984293197	1	0.068	0.033	0.035
Tgfb1i1	0.12686230893822	-1.5128635453398	1	0.029	0.06	0.031
Rbp1	0.127149227125104	0.849476526715433	1	0.043	0.016	0.027
Pdpr	0.12749661192788	-1.42135734887259	1	0.029	0.06	0.031
Trib2	0.127582251274467	-0.640540569976182	1	0.024	0.055	0.031
Lama5	0.127895735694714	1.0725142432654	1	0.101	0.06	0.041
Spopl	0.127903688501973	-0.434870061174111	1	0.15	0.208	0.058
Psd3	0.128074856039952	0.295976324724978	1	0.527	0.443	0.084
Cdc26	0.128171982734311	-0.45752549334324	1	0.043	0.082	0.039
Cab39	0.128249455427826	-0.932716551704409	1	0.077	0.12	0.043
Crebrf	0.128380343927382	-0.824016873672767	1	0.058	0.098	0.04
Epha4	0.128457823392682	-0.44302479148764	1	0.213	0.279	0.066
Fbxl12	0.128497198778876	-0.933584719492041	1	0.072	0.115	0.043
Mcmbp	0.128579124135391	-0.899505884159864	1	0.101	0.148	0.047
Anxa4	0.128693731501316	2.86142202935902	1	0.034	0.011	0.023
Gmeb2	0.129093202412273	-0.761482829596344	1	0.068	0.109	0.041
Arhgap26	0.129292162219563	-0.56119898489418	1	0.348	0.399	0.051
Marchf3	0.129821959354683	0.546139320213146	1	0.333	0.268	0.065
Ncoa2	0.129944314033149	-0.214949384703195	1	0.159	0.224	0.065
Icam1	0.130058522102082	-1.94627331012849	1	0.029	0.06	0.031
H3f3a	0.130310225854756	0.516939314645139	1	0.159	0.104	0.055
Asph	0.130444408607136	2.14248880148823	1	0.034	0.011	0.023
Tex10	0.130444408607136	2.05521750518338	1	0.034	0.011	0.023
Ehhadh	0.130444408607136	2.49286802374431	1	0.034	0.011	0.023
Adsl	0.130480749649588	-2.55548976496376	1	0.014	0.038	0.024
Crip2	0.130844692960688	-0.824082556730666	1	0.058	0.098	0.04
Smox	0.130904380043144	-0.291369138413481	1	0.043	0.082	0.039
Tmbim1	0.13094197351278	0.938103357501347	1	0.043	0.016	0.027
Mcc	0.130984057533204	0.360102658744013	1	0.589	0.497	0.092
Taok2	0.131182499054803	1.04252274772568	1	0.121	0.077	0.044
Znrf1	0.131280563580032	0.201198484123296	1	0.43	0.35	0.08
Snapc5	0.131326648580235	2.07124474310263	1	0.034	0.011	0.023
Cenpo	0.131326648580235	2.26224468122052	1	0.034	0.011	0.023
Tbce	0.131326648580235	2.0573348227385	1	0.034	0.011	0.023
Sap18	0.131326648580235	1.98669807814907	1	0.034	0.011	0.023
Ifnar1	0.131403062834848	0.619826949326634	1	0.232	0.175	0.057
Alkbh8	0.131528773149861	-1.4017848528254	1	0.034	0.066	0.032
Axin2	0.131840644985645	-1.11496101426846	1	0.058	0.098	0.04
Eif3f	0.132161157260378	-2.07706665006321	1	0.014	0.038	0.024
Dctn6	0.132161157260378	-2.11615875267101	1	0.014	0.038	0.024
Phf10	0.132161157260378	-1.66449535906672	1	0.014	0.038	0.024
Serinc5	0.132341521911444	1.63866949118963	1	0.072	0.038	0.034
Ywhaq	0.132592728883584	-0.688026973059534	1	0.135	0.186	0.051
Dnhd1	0.132814999929788	2.63207550388576	1	0.024	0.005	0.019
Scap	0.132814999929788	2.72433321618724	1	0.024	0.005	0.019
Prkcd	0.132814999929788	2.44030198595739	1	0.024	0.005	0.019
Lrp10	0.132814999929788	3.13754773337174	1	0.024	0.005	0.019
Lpp	0.132910205781514	0.28048075628021	1	0.372	0.29	0.082
Smc1a	0.132973695416746	0.621923915420043	1	0.179	0.126	0.053
Eif3c	0.132988077332713	-1.36674363207972	1	0.029	0.06	0.031
Stau2	0.13299717205689	-4.40041542893236	1	0	0.011	0.011
Ogfrl1	0.13299717205689	-3.70983200967289	1	0	0.011	0.011
Nabp1	0.13299717205689	-4.3910359597108	1	0	0.011	0.011
Stradb	0.13299717205689	-4.0862807736465	1	0	0.011	0.011
Asb1	0.13299717205689	-4.03350636221831	1	0	0.011	0.011
Ndufa10	0.13299717205689	-3.61070029377776	1	0	0.011	0.011
Farp2	0.13299717205689	-4.35136521364409	1	0	0.011	0.011
Thap4	0.13299717205689	-4.4849650452737	1	0	0.011	0.011
Kdsr	0.13299717205689	-4.18741155328843	1	0	0.011	0.011
Prelp	0.13299717205689	-4.94012391367085	1	0	0.011	0.011
Arl8a	0.13299717205689	-3.93619574980258	1	0	0.011	0.011
Timm17a	0.13299717205689	-4.37361177783212	1	0	0.011	0.011
Tmem9	0.13299717205689	-3.86236888407979	1	0	0.011	0.011
Gm2000	0.13299717205689	-5.0080340228773	1	0	0.011	0.011
Mettl13	0.13299717205689	-4.4806067422908	1	0	0.011	0.011
Cd247	0.13299717205689	-4.30415310257578	1	0	0.011	0.011
Tomm40l	0.13299717205689	-5.02502858004465	1	0	0.011	0.011
Ifi208	0.13299717205689	-4.71450969952963	1	0	0.011	0.011
Catspere2	0.13299717205689	-4.09696404193672	1	0	0.011	0.011
Sccpdh	0.13299717205689	-4.09022273417156	1	0	0.011	0.011
Traf3ip3	0.13299717205689	-4.02185684811055	1	0	0.011	0.011
Gpr158	0.13299717205689	-3.79932754029845	1	0	0.011	0.011
Tmem203	0.13299717205689	-5.49464032370643	1	0	0.011	0.011
Camsap1	0.13299717205689	-4.76621130197337	1	0	0.011	0.011
Tmem250-ps	0.13299717205689	-4.4289930824036	1	0	0.011	0.011
Qsox2	0.13299717205689	-4.1147700372397	1	0	0.011	0.011
Surf6	0.13299717205689	-5.13128788860359	1	0	0.011	0.011
Cacfd1	0.13299717205689	-4.72988652333222	1	0	0.011	0.011
Col5a1	0.13299717205689	-4.31089971379692	1	0	0.011	0.011
Gle1	0.13299717205689	-4.52971316890433	1	0	0.011	0.011
Klhl23	0.13299717205689	-5.39352914210157	1	0	0.011	0.011
Lnpk	0.13299717205689	-4.40652639073606	1	0	0.011	0.011
Rbm45	0.13299717205689	-4.98390057675913	1	0	0.011	0.011
Tmx2	0.13299717205689	-3.76294949810163	1	0	0.011	0.011
Nat10	0.13299717205689	-4.32250018647489	1	0	0.011	0.011
Emc4	0.13299717205689	-4.55191142522807	1	0	0.011	0.011
Zc3h8	0.13299717205689	-4.35339893070183	1	0	0.011	0.011
Mcm8	0.13299717205689	-5.27988496152315	1	0	0.011	0.011
Nxt1	0.13299717205689	-4.83837498192864	1	0	0.011	0.011
Zfp341	0.13299717205689	-3.67317851326501	1	0	0.011	0.011
Trp53inp2	0.13299717205689	-4.08039892811213	1	0	0.011	0.011
