gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Prpf4b	0.00176990516675835	-1.56641363650424	1	0.071	0.222	0.151
Nav1	0.00179793250420754	-2.29434972864808	1	0.027	0.148	0.121
Cul3	0.00181584320411546	-1.42624506477541	1	0.089	0.259	0.17
Gng2	0.00184527780872036	1.36648568349923	1	0.348	0.16	0.188
Kif1b	0.00185491260909654	-1.29316497049683	1	0.045	0.185	0.14
Acbd5	0.00190683715563894	-1.74810473446604	1	0.062	0.21	0.148
Xpnpep3	0.00197424944518446	-2.74539207558509	1	0.036	0.16	0.124
Cdin1	0.00198483787313605	-1.79069121260122	1	0.054	0.198	0.144
Ino80	0.00206926383268237	-1.33364597427418	1	0.143	0.321	0.178
Zfr	0.00211815690355849	-1.5580381185434	1	0.125	0.309	0.184
Slc6a6	0.00232965831927874	-1.20554596418335	1	0.116	0.296	0.18
Abcg1	0.00240017811845481	-2.26689081885688	1	0.036	0.16	0.124
Gramd1a	0.00245404107283414	6.63356952186597	1	0.107	0	0.107
Cdc27	0.00245404107283414	-3.07069121567975	1	0.018	0.123	0.105
Fmr1	0.00250520014611218	-3.02670876972382	1	0.018	0.123	0.105
Lrrc4	0.00252210241259031	-2.43840755990243	1	0.045	0.173	0.128
Cp	0.00261908300212557	-1.08373110340373	1	0.027	0.148	0.121
Ndufs4	0.00262357471987353	-1.80413336693692	1	0.062	0.21	0.148
Epb41	0.00270329351822378	-1.66045036487839	1	0.062	0.21	0.148
Usp4	0.00273958612272523	2.50589866999902	1	0.179	0.037	0.142
Ubb	0.00277593728789339	-2.67507008258842	1	0.018	0.123	0.105
Larp1	0.00282189425232937	1.88285238698915	1	0.304	0.136	0.168
C9orf72	0.00283319170391323	-2.79876650513348	1	0.018	0.123	0.105
Myl6	0.00283319170391323	-2.77967111278123	1	0.018	0.123	0.105
Iars2	0.00289152245189546	-2.20922511966898	1	0.018	0.123	0.105
Camsap1	0.00295536306495822	2.1894429555458	1	0.196	0.049	0.147
Yes1	0.00295954094447773	-2.03245321419542	1	0.036	0.16	0.124
Rpl18a	0.00295954094447773	-2.07855538727647	1	0.036	0.16	0.124
Rpl21	0.00297640789735298	-2.04810147241961	1	0.045	0.173	0.128
Cdip1	0.00307315315165754	-2.17358341591285	1	0.018	0.123	0.105
Sfswap	0.00312407739908882	2.91307628681174	1	0.17	0.037	0.133
Xrn2	0.00318726058046911	-1.38779531557786	1	0.098	0.259	0.161
Trim41	0.00322588803946786	-1.90048077309252	1	0.036	0.16	0.124
Siah1a	0.00326513114699576	-2.28467261785893	1	0.018	0.123	0.105
Zfp869	0.00328170974998404	-1.63796709805175	1	0.036	0.16	0.124
Hsp90ab1	0.00330871105677518	-4.10332966530064	1	0.009	0.099	0.09
Eif2ak4	0.00339522207463815	-3.08641187788484	1	0.027	0.136	0.109
Zranb2	0.00357094926604444	-6.00865550869244	1	0	0.074	0.074
Pdpr	0.00357094926604444	-6.21913837765183	1	0	0.074	0.074
Zfp266	0.00357094926604444	-5.96596729175138	1	0	0.074	0.074
Myo6	0.00357094926604444	-6.11798284197071	1	0	0.074	0.074
Pym1	0.00357094926604444	-6.34788422936333	1	0	0.074	0.074
Rpl24	0.00357094926604444	-6.30181877935111	1	0	0.074	0.074
Cct8	0.00357094926604444	-5.90737949296475	1	0	0.074	0.074
Tab3	0.00357094926604444	-5.79038070109759	1	0	0.074	0.074
Pdk3	0.00357094926604444	-6.26416527136281	1	0	0.074	0.074
Hk2	0.00361714958991151	-0.543181372628402	1	0.223	0.432	0.209
Naa20	0.00362690876870319	-3.44599809985685	1	0.009	0.099	0.09
