gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	28070.0022009886	-0.0389216195518788	0.0850356949065169	-0.457709196057807	0.647161380306831	0.950399986789143	1	1	0
Rp1	14.9796245280346	-0.853290027393925	0.431634236225033	-1.97688217426076	0.0480549502047355	NA	1	1	0
Mrpl15	328.453006623597	0.0637153377221906	0.107554763927932	0.592399029064704	0.553583416361333	0.930528809947964	1	1	0
Lypla1	576.803705446258	-0.144700744072234	0.0835657896258225	-1.73157873239937	0.0833485955680728	0.57904134610991	1	1	0
Tcea1	1294.32866782208	-0.00134408601806348	0.0648605966090606	-0.0207226897119803	0.983466869132341	0.999579332913141	1	1	0
Rgs20	1263.55368906043	0.0652674873801608	0.124360744729331	0.52482387044412	0.599705635969739	0.938531166967507	1	1	0
Atp6v1h	2860.35964340475	-0.0763050786896532	0.0743339952208698	-1.02651658185365	0.304648151647185	0.823240995402414	1	1	0
Oprk1	222.746073182809	0.100328082469395	0.205035138883938	0.489321406152661	0.624614168436423	0.945025858536492	1	1	0
Rb1cc1	3733.4395635421	-0.0226705602786455	0.0472060494439813	-0.480246929062519	0.631051820811449	0.946369177284759	1	1	0
Alkal1	19.928396239663	0.520040826704701	0.318495768758815	1.63280293716715	0.102510449147069	0.616886304619569	1	1	0
St18	232.997250445302	-0.323610503506584	0.565404508897737	-0.572352180454781	0.56708340540785	0.933707410926086	1	1	0
Pcmtd1	3973.4129817955	0.00482384908774762	0.074852420811438	0.0644447973152325	0.948616061036713	0.995554996841561	1	1	0
Sntg1	21370.7928875974	-0.0134248683663081	0.0781145622920116	-0.171861276212784	0.863546590655932	0.983769747067474	1	1	0
Rrs1	42.1986339802301	0.160632380257956	0.22771714842278	0.705403090502987	0.480559421281373	0.907032572091056	1	1	0
Adhfe1	61.251021001475	0.192524782955706	0.21057260031974	0.914291710618429	0.360563585121608	0.854824914401531	1	1	0
Vxn	1188.13136005658	0.281339982986817	0.125404755391646	2.24345545835304	0.0248674590712338	0.36854616968705	1	1	0
Mybl1	61.8173995355306	-0.146051438184559	0.178010324730865	-0.820466107263022	0.411950442920142	0.881189702082811	1	1	0
Vcpip1	743.34284738982	0.0305572773631991	0.0868955450469431	0.351655281599204	0.725096801113128	0.963084185345112	1	1	0
Sgk3	1078.05215863176	0.00942656951686011	0.0673557135491792	0.139952039999953	0.888697883878406	0.988144621169675	1	1	0
Mcmdc2	323.425397092415	-0.149594616440927	0.120442837199212	-1.24203829733352	0.214222432289708	0.760623070335447	1	1	0
Ppp1r42	54.4479451423307	-0.00967317016051484	0.2028614737531	-0.047683623615433	0.961968385717412	0.998753457423608	1	1	0
Cops5	682.98462529638	-0.129193688482483	0.0691680839640989	-1.86782228273867	0.0617868464594206	0.519707434770635	1	1	0
Cspp1	4266.03977729877	-0.0724387861425686	0.0666605688902925	-1.08668118722157	0.277177730974476	0.801625475676103	1	1	0
Arfgef1	3325.2404455784	-0.0108130199496542	0.058772662355235	-0.18398043437777	0.854028804016964	0.98212906367066	1	1	0
Cpa6	399.22689047903	0.407962870805678	0.145839806869208	2.79733551191237	0.00515259960362393	0.176288536168312	1	1	0
Prex2	454.977698958169	-0.279161267238833	0.124968839707706	-2.23384699651348	0.0254931420696759	0.369373463558864	1	1	0
A830018L16Rik	8308.07026202944	-0.10409842345663	0.0859370267215134	-1.21133378042005	0.22576750717128	0.770241810001076	1	1	0
Sulf1	1029.45733221423	0.151377313622839	0.136555930192229	1.10853709106404	0.267629929701722	0.797663692633262	1	1	0
Slco5a1	165.116407814872	-0.245474722163922	0.132420869793576	-1.85374648683837	0.0637754376271978	0.525265624543069	1	1	0
Ncoa2	5968.68437194226	0.0813996592067252	0.0615784955878982	1.32188450577741	0.186206612638031	0.737516272836807	1	1	0
Tram1	386.414856007647	-0.094163724868487	0.102286053800577	-0.920592019827786	0.357263470140747	0.854306061439581	1	1	0
Lactb2	585.709772499161	-0.0336710945577025	0.0744055154600909	-0.452534927679693	0.65088366509542	0.950399986789143	1	1	0
Eya1	124.555956148702	-0.172910947403671	0.184556320398866	-0.936900708845805	0.348809634553701	0.851166205446941	1	1	0
Msc	12.3139709140593	0.0503979298212093	0.445041278988506	0.113243270232717	0.909837691598313	NA	1	1	0
Kcnb2	20746.2948499898	-0.102238874789042	0.0578308736332521	-1.76789435064415	0.0770785674301846	0.563902909266184	1	1	0
Terf1	1120.88577367406	-0.185184115143009	0.0877151723516098	-2.11119821324287	0.0347552783558333	0.417777443507795	1	1	0
Sbspon	32.2638803710873	-0.327196691647087	0.274295431538592	-1.19286234485116	0.232923288543028	0.77255647870075	1	1	0
4930444P10Rik	170.704203278661	-0.222634476165529	0.144887002713578	-1.53660764592975	0.124389419080462	0.65884755487011	1	1	0
Rpl7	174.801344165452	0.756579311221599	0.210902877279459	3.58733517997047	0.000334074770331553	0.0445449563683624	1	1	0
Rdh10	317.708003145875	-0.0735990295074796	0.0860492258515807	-0.855313092931534	0.392377841138887	0.871336800791435	1	1	0
Stau2	5369.21854684521	-0.0163728036684389	0.057088175181555	-0.286798511537096	0.774266602709359	0.972263218429607	1	1	0
Ube2w	2749.6118799687	-0.066145906754202	0.0507110023995723	-1.30436993205167	0.192107481926373	0.74356884469239	1	1	0
Eloc	513.137273930189	0.205955175938892	0.0848556159397517	2.42712487155974	0.0152190166048713	0.294462058794721	1	1	0
Tmem70	249.076033775122	0.0507816670980982	0.0997802923279944	0.508934839869685	0.610797898265613	0.942105489636022	1	1	0
