gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	0.114490792369492	-0.492589507005536	3.10141726961874	-0.158827227742267	0.873804996461963	0.999998966800745
Rp1	2.1224158778264	0.257651585185163	0.519305349342642	0.496146603364107	0.619790980948682	0.999998966800745
Sox17	7.44921445956304	0.154774358895628	0.326608910049023	0.473882843160638	0.635583454443056	0.999998966800745
Mrpl15	0.350319008160568	-0.0138579852706306	1.62260716805285	-0.00854056702292299	0.993185696272687	0.999998966800745
Lypla1	3.23860144582357	0.0450746902845738	0.4360932205712	0.103360217857857	0.917677084538811	0.999998966800745
Tcea1	2.63877911739359	-0.276004669878657	0.60783208935972	-0.454080452003441	0.649770922406798	0.999998966800745
Rgs20	0.0538034713453903	-1.33916878210881	3.10629469124475	-0.431114532012473	0.666385094698983	0.999998966800745
Atp6v1h	1.77299384580847	-1.86543928001004	0.731983093685659	-2.5484731766375	0.0108195606964957	0.999998966800745
Rb1cc1	7.50651304734211	-0.34504725533715	0.339324617990478	-1.01686478682438	0.309217756801935	0.999998966800745
St18	0.261124595545443	0.498807946794676	2.3666247154456	0.210767657220531	0.833068577394626	0.999998966800745
Pcmtd1	30.5973595391474	0.137502812826438	0.148550170270316	0.925632145531877	0.354637181844133	0.999998966800745
Adhfe1	0.0248362950293383	-0.994475775777967	3.1099572961938	-0.319771521298727	0.749141537688355	0.999998966800745
Mybl1	0.41452018993195	-0.207178481234701	2.41058797431058	-0.0859452064984076	0.93150997484494	0.999998966800745
Vcpip1	1.32386909281445	-0.15044741715547	0.835931253455315	-0.179975825205238	0.857171546975573	0.999998966800745
Sgk3	4.04365329436238	-0.525033665833428	0.531146426120951	-0.988491383944414	0.322912052081642	0.999998966800745
Cops5	1.39779342139218	-0.714774825363298	0.888598894537731	-0.804384103735735	0.421175178823921	0.999998966800745
Cspp1	1.86950646759114	-0.369414453342025	0.580259091405001	-0.636637079563113	0.524361266780589	0.999998966800745
Arfgef1	7.46850571832623	-0.397413168851585	0.299954088697159	-1.32491332449488	0.185199900943327	0.999998966800745
Prex2	56.5100021756096	0.0179972492646099	0.130591560918735	0.13781326402714	0.890388001212513	0.999998966800745
Sulf1	0.537438178480807	-0.306760134598689	1.82892345248929	-0.167727158936677	0.866797929121553	0.999998966800745
Ncoa2	6.84967826905421	0.349210714842361	0.359720074969715	0.970784615987198	0.33165554495542	0.999998966800745
Tram1	0.970429187945087	0.359046196216642	0.837550267054281	0.428686146181328	0.668151643946282	0.999998966800745
Lactb2	0.660515529559032	-0.627996801592361	1.09269918295794	-0.574720665473889	0.565480228874247	0.999998966800745
Eya1	0.190838271144057	0.559429288558981	3.09735961019224	0.180614897514034	0.856669861676162	0.999998966800745
Trpa1	0.0437966290082132	-0.376669866335932	3.10885289897108	-0.121160401786973	0.903563987791211	0.999998966800745
Kcnb2	0.0248362950293383	-0.994475775777967	3.1099572961938	-0.319771521298727	0.749141537688355	0.999998966800745
Terf1	4.86751325570372	0.568601367639397	0.370985539777503	1.53267797979515	0.125355217354129	0.999998966800745
Sbspon	0.867545981097578	-0.309592236195271	0.84353222987795	-0.367018858591883	0.713604951037083	0.999998966800745
Rpl7	1.13727366690465	0.0796895477332957	0.808300650092369	0.0985889937416098	0.921464609166275	0.999998966800745
Rdh10	0.564931869827552	-1.2198067475629	1.41228493741943	-0.86371150413299	0.387746392365304	0.999998966800745
Stau2	0.147681954637539	-0.948873341680712	3.09946025509567	-0.306141477413919	0.759496928597981	0.999998966800745
Ube2w	1.14313876841999	-0.463347015157565	0.839053928456956	-0.552225547658984	0.580793832909454	0.999998966800745
Eloc	0.596746313592204	-1.45469451152069	1.34251316138901	-1.08356070790071	0.278559620249074	0.999998966800745
Tmem70	0.266395807700523	-1.54546932069588	2.07004313943448	-0.746587977445771	0.455312307782375	0.999998966800745
Ly96	0.436238666672718	-0.470530579389159	1.40787509860152	-0.334213297654423	0.738218610295497	0.999998966800745
Pi15	0.114490792369492	-0.492589507005536	3.10141726961874	-0.158827227742267	0.873804996461963	0.999998966800745
Crispld1	8.00425334707214	0.435636216111115	0.274255127666902	1.58843417009953	0.112188195858391	0.999998966800745
Mcm3	0.0546639275904382	-0.872048491009248	3.10547895769291	-0.280809660245485	0.778856393834032	0.999998966800745
Efhc1	0.274446503502827	-0.634247310741089	2.29172606704463	-0.276755289326094	0.781968014547129	0.999998966800745
Tram2	1.61236176142465	1.329127326025	0.643903118164469	2.06417283676751	0.0390013319850173	0.999998966800745
Gsta3	0.0322013498473212	-0.418576521518277	3.11104834981277	-0.134545167561754	0.892971497200783	0.999998966800745
Kcnq5	0.417550117892625	0.84864748198734	3.08500356268469	0.275088007110376	0.783248625213647	0.999998966800745
Rims1	0.284249190807696	0.300511778989341	3.08989119289299	0.0972564275662986	0.922522757667373	0.999998966800745
Ogfrl1	0.122033949184769	-0.646447122772292	3.09956725514162	-0.208560443945829	0.834791392607381	0.999998966800745
Smap1	2.82909138841114	0.449524178915443	0.492450239610124	0.912831678732321	0.361331074547432	0.999998966800745
Sdhaf4	0.692925115222193	-1.33497613905481	3.09969656435874	-0.430679620194044	0.666701339243744	0.999998966800745
Fam135a	8.40131528209078	-0.348154520678012	0.311412529618605	-1.11798494782598	0.263573422099473	0.999998966800745
Col19a1	0.0596500168418036	-0.0141185627080884	3.10594475625058	-0.00454565802552521	0.996373102133184	0.999998966800745
Lmbrd1	2.81252652259339	0.00426914501294335	0.537646553859612	0.0079404303483327	0.993664519794801	0.999998966800745
