gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	15565.8132973366	0.100400999166074	0.0590311049332569	1.70081517666985	0.0889776985022121	0.691094413164291
Rp1	8.64010356435899	-0.0299812591806994	0.371394097446901	-0.0807262672907338	0.935659646708727	0.98881962749995
Mrpl15	198.039485083911	0.0475023164748963	0.0687881708606134	0.69055937787837	0.489842483018717	0.891230728817851
Lypla1	313.362390447289	0.0576271472261194	0.0672174147755906	0.857324659368576	0.391265483975861	0.868126806975425
Tcea1	804.85887226499	-0.04934937104522	0.0455711952889371	-1.08290710244329	0.278849659046158	0.828363086163024
Rgs20	951.499856754355	0.0403677917934253	0.111706362709088	0.361374149282377	0.717819770043394	0.94803220829623
Atp6v1h	1500.04848839	-0.011378898187192	0.0549803531729177	-0.206962988240626	0.836038763760944	0.970688411707747
Oprk1	186.078696188592	-0.103350787745026	0.151867121968945	-0.680534314505282	0.496166202011695	0.892008694152595
Rb1cc1	1701.5169122701	0.02161812722183	0.0399585343374892	0.541014018163019	0.58849792054218	0.918958669548984
St18	126.817114292197	0.174025859711574	0.145247843701218	1.19813041816685	0.230866248565122	0.799093549179897
Pcmtd1	1854.73378396657	-0.0765790647683028	0.0571525023569365	-1.3399074687936	0.180275429624686	0.773465237746153
Sntg1	14447.8956645808	0.0184256813331992	0.0531565165373734	0.346630714980062	0.728868767721793	0.952196798808609
Rrs1	28.0190272193336	-0.100378478724294	0.180245506786265	-0.556898646263193	0.577596679603747	0.915532349834783
Adhfe1	54.4164043528977	0.0911036399644002	0.131478425344865	0.692917029736531	0.488361621828785	0.891230728817851
Vxn	26.3038641538435	-0.0469449019483872	0.31009599436405	-0.151388288793161	0.879669427179626	0.979656797372522
Mybl1	41.4655574819543	-0.0169528483521129	0.153026399382216	-0.110783815214586	0.911787779929625	0.986268984072358
Vcpip1	398.370816398461	0.0231272065112149	0.0659274200872545	0.350797990890683	0.725739904579394	0.950780801079292
Sgk3	470.024136228348	0.0580961914833439	0.159107545938229	0.365137876652933	0.715008488462877	0.94803220829623
Mcmdc2	166.748936540743	-0.158683728037513	0.111898715471405	-1.41810142653571	0.156161154850431	0.751394187889109
Ppp1r42	16.8801630807284	-0.242893487897822	0.21225924793491	-1.14432464196946	0.252489027514287	0.810491097844265
Cops5	369.82663676149	-0.0923861211461369	0.0737782003709848	-1.2522143489755	0.210491768819522	0.791536728549276
Cspp1	2125.4833611169	0.0138379071584297	0.0452581438481374	0.305755074818411	0.759791136388261	0.958436694404908
Arfgef1	1683.77113792354	0.0524182180629509	0.0428120230374981	1.22438077773243	0.220808617225209	0.797749397653222
Cpa6	486.944433972474	-1.38630777195218	0.561697147607507	-2.46806980925045	0.0135843824473636	0.53485857524095
Prex2	455.60848494709	0.000272102296703394	0.0999043051069853	0.00272362934121814	0.997826860886074	0.99986966082054
A830018L16Rik	4330.91773259975	0.0377429416147167	0.0649445275664037	0.581156612096773	0.561134906725358	0.90990859201296
Sulf1	298.332663877123	-0.0378695413867005	0.222584512510649	-0.170135563160032	0.864903525854301	0.97812924699465
Slco5a1	301.589491849277	-0.230569020053437	0.224321553365008	-1.02785049672986	0.304020158626251	0.841620225541363
Ncoa2	2811.25047693392	0.0341582993435163	0.0512006360277194	0.667145996487689	0.504678882120026	0.894079853219979
Tram1	264.595998187048	-0.0104410722743537	0.0782001353808215	-0.133517317118537	0.893784269803804	0.982976875539159
Lactb2	323.151512261087	0.00961149949259276	0.0701512794249699	0.1370110363115	0.891022071666114	0.982435773232918
Eya1	153.961356601042	0.0417758134762274	0.111026174266733	0.376269953928736	0.706716214093465	0.946208227259256
Kcnb2	8825.89620980777	-0.266154723949173	0.17642421336094	-1.50860655053429	0.131399359182974	0.725506046985125
Terf1	548.557395694598	0.00231732437196669	0.0481845562577198	0.0480926784833766	0.961642381179452	0.993357063031081
Sbspon	22.0350954709273	-0.379015004518253	0.217717911780569	-1.74085357248994	0.0817092486020735	0.685519259472617
4930444P10Rik	85.6070343642638	-0.173180782126067	0.152323845185332	-1.13692496349051	0.255569655335605	0.811973623127156
Rpl7	103.09106554841	-0.145123037222754	0.179738608048883	-0.807411600646679	0.419429385611236	0.878134893388001
Rdh10	185.450196018256	0.181056797881582	0.0828221027993213	2.18609274290323	0.0288088208290354	0.603453973031568
Stau2	3314.79235146313	-0.0214768071567873	0.0415591178812336	-0.51677726216815	0.605311654380212	0.924622264919586
Ube2w	1379.71594091308	-0.0354220826615279	0.0522972081877496	-0.677322631341253	0.498201274888368	0.892008694152595
Eloc	268.7735565383	0.0116169785351438	0.0730355993577238	0.159059125102056	0.873622291606794	0.978725489784459
Tmem70	144.611187708483	0.069149880064507	0.0848784293338768	0.814693210126449	0.415247940908938	0.877164724915347
Ly96	48.4242750586598	0.115007311328792	0.157282728431267	0.731213862296713	0.464648534248153	0.88847223069169
Jph1	355.920475068415	0.0938514291329775	0.0933828556419682	1.00501776785244	0.314888294329431	0.84306427260951
Gdap1	784.86854280219	0.0497479033128168	0.0538848450250526	0.923226248302052	0.355889312775204	0.860504317522743
Pi15	11.2468791309429	-0.287609483706897	0.30779419821871	-0.934421393812399	0.350086566316144	0.859173632873558
Crispld1	274.408516632192	0.0608794690092668	0.115335697663245	0.527845846886205	0.597606333255233	0.922454002968766
Tfap2d	95.5468868577415	-0.0865282909661781	0.387085443646396	-0.223537961415108	0.823116841554376	0.968024797582581
Tfap2b	75.7565902945594	0.253319604815991	0.375573305564909	0.674487779249823	0.500001252641927	0.892008694152595
