gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl15	0.0622048782692022	0.0111954075091489	3.07821452830907	0.00363698092065687	0.997098115472984	NA
Lypla1	0.874090441722742	0.744575137177002	0.936105594013441	0.795396525711084	0.426382880293702	NA
Tcea1	0.950835890340963	1.28608297107985	0.88785624111177	1.44852613692214	0.147469961688589	NA
Atp6v1h	1.12605635393855	0.16086534753408	0.924540410499638	0.173994933814895	0.861869443732753	NA
Rb1cc1	2.21649677696869	-0.323972624526397	0.657065961743412	-0.493059515161599	0.621970535608935	0.966026997937385
St18	0.351152634664777	-1.20444388063795	2.03894584583756	-0.590718916393384	0.554708771223796	NA
Pcmtd1	5.04631902404832	-0.0451672490931078	0.694088619987454	-0.065074181873093	0.948114936731352	0.998095080364136
Adhfe1	0.659600653944144	-0.220320890034455	1.12008631345066	-0.196699921594177	0.84406237145401	NA
Vcpip1	2.05061250220924	0.772200175649125	0.652858252567792	1.1827991338272	0.236888763953523	0.847182135367447
Sgk3	3.68960456200746	-0.501387010427159	0.47250916341066	-1.06111595129299	0.288637209529233	0.903189667507447
Tcf24	0.0103299154670403	0.0110765936808603	3.08509776154921	0.00359035419198452	0.997135317977002	NA
Cops5	1.11282218771877	-1.00029978204897	0.87477865085401	-1.14348901984796	0.252835611003793	NA
Cspp1	1.11863678465843	-0.194291172979786	0.808439256005042	-0.240328721714838	0.810075430664301	NA
Arfgef1	2.58466956053525	0.695102317797839	0.587099803904508	1.18395937654051	0.236429144010648	0.847182135367447
Cpa6	0.0256124507765122	-0.601254228895049	3.08387903773506	-0.194966865281667	0.84541888748704	NA
Prex2	0.139170772208883	-0.356776230393612	3.07967192715614	-0.115848778322005	0.907772391230453	NA
Ncoa2	6.62622962872767	-0.174592367912628	0.333441713589554	-0.523606857801663	0.600552010703936	0.961331408304424
Tram1	1.43117244199743	-0.0756390398450784	0.702395879121969	-0.107687191928903	0.914243829786447	NA
Lactb2	2.03919649103885	0.0335149525381906	0.564536186678535	0.0593672351375326	0.952659609584843	0.998095080364136
Xkr9	0.0721992575779832	0.2000430927155	3.08442293705894	0.0648559217713008	0.948288715995231	NA
Kcnb2	0.288797030311933	1.24992279908321	3.06964988233173	0.407187414524866	0.683870344437522	NA
Terf1	1.27327617886541	-0.770568892069396	0.866860090050369	-0.888919562584341	0.374046311042262	NA
Rpl7	0.494326671632715	-0.0853714119133005	1.40770857740268	-0.0606456572643868	0.951641411178993	NA
Rdh10	0.115380740699877	-0.322369840934105	3.07633855929145	-0.104790105094399	0.916542361810256	NA
