_MEMBER_Plcl1,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,81671,M1,0.043478260869565216,1
1,59338,M1,0.043478260869565216,1
1,51631,M1,0.043478260869565216,1
1,10231,M1,0.043478260869565216,1
1,8476,M1,0.043478260869565216,1
1,152137,M1,0.043478260869565216,1
1,3908,M1,0.043478260869565216,1
1,3705,M1,0.043478260869565216,1
1,4336,M1,0.043478260869565216,1
1,9781,M1,0.043478260869565216,1
1,57451,M1,0.043478260869565216,1
1,7182,M1,0.043478260869565216,1
1,5010,M1,0.043478260869565216,1
1,28513,M1,0.043478260869565216,1
1,51621,M1,0.043478260869565216,1
1,9844,M1,0.043478260869565216,1
1,55718,M1,0.043478260869565216,1
1,3556,M1,0.043478260869565216,1
1,8633,M1,0.043478260869565216,1
1,7704,M1,0.043478260869565216,1
1,443,M1,0.043478260869565216,1
1,29767,M1,0.043478260869565216,1
1,22807,M1,0.043478260869565216,1
